Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports,Year
C0004191,1,TERRA AUSTRALIS (IMO 8837435),TERRA AUSTRALIS (IMO 8837435): ,Chile,Passenger,2002-04-28 00:00:00,,Very serious marine casualty,,"N. of Mans Bay, Osorno",,2,Chile; Chile,2002
C0004576,3,"NIKAR G (IMO 9197777), SMALAND (IMO 8214358), SMALAND (IMO 8214358)","NIKAR G (IMO 9197777): , SMALAND (IMO 8214358): , SMALAND (IMO 8214358): ","Antigua and Barbuda, Cyprus, Unknown","General Cargo, General Cargo, ",2002-04-27 10:42:00,,Marine casualty,,Baltic Sea,Coastal waters,0,,2002
C0004247,1,GOLDEN DRAGON 2000 (IMO 8971621),GOLDEN DRAGON 2000 (IMO 8971621): ,Philippines,Passenger/Ro-Ro Cargo,2002-04-27 00:00:00,,Marine casualty,,10 nm S. of Danao City and Camotes Island,,0,,2002
C0004575,2,"MINE S (IMO 8139235), VENUS","MINE S (IMO 8139235): , VENUS: ","Türkiye, Unknown","General Cargo, Dredging",2002-04-25 00:00:00,,Marine casualty,,Constantza,,0,,2002
C0004567,2,"DAE HAN NO. 2, NAM IL","DAE HAN NO. 2: , NAM IL: ","Unknown, Republic of Korea","Non-ship structures, General Cargo",2002-04-25 00:00:00,,Very serious marine casualty,,Off Pohang,,0,,2002
C0004569,1,ST. CLAIR (IMO 7403990),ST. CLAIR (IMO 7403990): ,United States,Bulk Dry,2002-04-24 00:00:00,,Marine casualty,,"Lake St. Clair, near Great Lakes",,0,,2002
C0004078,2,"MEGAH DUA (IMO 8130203), RZHEV (IMO 7405716)","MEGAH DUA (IMO 8130203): , RZHEV (IMO 7405716): ","Indonesia, Cambodia","General Cargo, General Cargo",2002-04-24 00:00:00,,Very serious marine casualty,,East China Sea,,0,,2002
C0004574,2,"JIN PU HAI (IMO 9156125), MSC PARAGUAY (IMO 8408856)","JIN PU HAI (IMO 9156125): , MSC PARAGUAY (IMO 8408856): ","Panama, Panama","Bulk Dry, General Cargo",2002-04-23 00:00:00,,Marine casualty,,Alexandria container terminal,,0,,2002
C0004568,2,"SEA DIAMOND H. (IMO 7125122), STAROCHERKASSK (IMO 8728062)","SEA DIAMOND H. (IMO 7125122): , STAROCHERKASSK (IMO 8728062): ","Cyprus, Russian Federation","General Cargo, General Cargo",2002-04-22 00:00:00,,Marine casualty,,Between Kea and Kythnos Islands,,0,,2002
C0004546,1,LAURELS (IMO 7651913),LAURELS (IMO 7651913): ,Cambodia,Non-ship structures,2002-04-22 00:00:00,,Marine casualty,,"Pacific Ocean, E. of Shikoku Island, Japan",,0,,2002
C0005844,1,PROGRESS (IMO 8974178),PROGRESS (IMO 8974178): ,Canada,Towing / Pushing,2002-04-21 22:30:00,,Marine casualty,,"St. Lawrence Seaway off Broder Island, Ontario",,2,Canada; Canada,2002
C0004602,1,INCE EXPRESS (IMO 8324397),INCE EXPRESS (IMO 8324397): ,Türkiye,Bulk Dry,2002-04-21 00:00:00,,Marine casualty,,"Red Sea, 65nm off Gizan, Saudi Arabia",,0,,2002
C0004214,1,SOUTHERN CARRIER (IMO 7800758),SOUTHERN CARRIER (IMO 7800758): ,Sweden,Passenger/Ro-Ro Cargo,2002-04-16 00:00:00,,Marine casualty,,English Channel,,1,Unknown,2002
C0004114,1,SA FORTIUS (IMO 9221217),SA FORTIUS (IMO 9221217): ,Bahamas,Bulk Dry,2002-04-15 00:00:00,,Marine incident,,"Port Kembla, New South Wales",,2,Australia; Unknown,2002
C0003974,1,BOWEN QUEEN (IMO 6600967),BOWEN QUEEN (IMO 6600967): ,Canada,Non-ship structures,2002-04-13 00:00:00,,Marine incident,,"Gabriola Island, British Columbia",,1,Unknown,2002
C0004173,2,"NOOR AL AMAL (IMO 6925769), SALIH KALKAVAN (IMO 7401514)","NOOR AL AMAL (IMO 6925769): , SALIH KALKAVAN (IMO 7401514): ","Cambodia, Türkiye","General Cargo, Non-ship structures",2002-04-12 00:00:00,,Very serious marine casualty,,Entrance to Strait of Canakkale,,0,,2002
C0004544,1,MALAKAND (IMO 7822005),MALAKAND (IMO 7822005): ,Pakistan,General Cargo,2002-04-12 00:00:00,,Marine casualty,,"Off Colombo, Sri Lanka",,0,,2002
C0004545,1,TIRTA NIAGA VII (IMO 8021256),TIRTA NIAGA VII (IMO 8021256): ,Indonesia,Non-ship structures,2002-04-12 00:00:00,,Marine casualty,,"Off Paradip, India",,0,,2002
C0007055,1,FORUM SAMOA II,FORUM SAMOA II: ,Samoa,General Cargo,2002-04-11 04:01:00,,Marine casualty,,Off Cape Moreton,,2,Australia; Unknown,2002
C0004183,1,SHELF EXPLORER (IMO 6409430),SHELF EXPLORER (IMO 6409430): ,Honduras,Dredging,2002-04-11 00:00:00,,Very serious marine casualty,,3 kms off Bogenfels near Luderitz,,0,,2002
C0004156,2,"MARIA CARMELA (IMO 8622361), Maria Carmelia","MARIA CARMELA (IMO 8622361): , Maria Carmelia: ","Philippines, Philippines","Non-ship structures, Ro-Ro Cargo",2002-04-11 00:00:00,,Very serious marine casualty,,"Tayabas Bay, 11 nm from Lucena city",Coastal waters,0,,2002
C0004151,1,KYOSHIN MARU NO. 8 (IMO 8894859),KYOSHIN MARU NO. 8 (IMO 8894859): ,Japan,Fish Catching,2002-04-11 00:00:00,,Marine casualty,,Pacific Ocean,,0,,2002
C0005978,1,VISBY (IMO 7826788),VISBY (IMO 7826788): ,Sweden,,2002-04-10 10:00:00,,Very serious marine casualty,,"At Visby port quay, Gotland",,2,Sweden; Sweden,2002
C0004077,1,RADIANT (IMO 9247534),RADIANT (IMO 9247534): ,United Kingdom,Fish Catching,2002-04-10 00:00:00,,Very serious marine casualty,,About 45 miles N-W of Isle of Lewis,,1,United Kingdom,2002
C0004561,1,JEAN LECLERC (IMO 7348061),JEAN LECLERC (IMO 7348061): ,France,Fish Catching,2002-04-10 00:00:00,,Marine casualty,,"20 nm W. of the Hebrides, Scotland",,0,,2002
C0004560,1,GEORGETE K. (IMO 8309220),GEORGETE K. (IMO 8309220): ,Greece,Bulk Dry,2002-04-08 00:00:00,,Marine casualty,,"600 miles off Montevideo, Uruguay",,0,,2002
C0004565,1,VOYAGER EAGLE,VOYAGER EAGLE: ,United States,Non-ship structures,2002-04-07 00:00:00,,Marine casualty,,"Johnson's reef, off St. John's, Unites States'  Vi",,0,,2002
C0004180,1,RITA S. (IMO 7703730),RITA S. (IMO 7703730): ,Lebanon,General Cargo,2002-04-07 00:00:00,,Very serious marine casualty,,South Atlantic Ocean,,0,,2002
C0004563,2,"NOELLA, WEIYUAN I (IMO 9244336)","NOELLA: , WEIYUAN I (IMO 9244336): ","Unknown, Singapore","Non-ship structures, Towing / Pushing",2002-04-06 00:00:00,,Very serious marine casualty,,"W. of Pulau Tekong, Singapore",,2,Singapore; Singapore,2002
C0004564,1,OUR JOHANNA (IMO 7113595),OUR JOHANNA (IMO 7113595): ,United Kingdom,Fish Catching,2002-04-06 00:00:00,,Marine casualty,,"19 nm S.-E. of Berry Head, Torbay, Devon",,0,,2002
C0004558,1,AMPLE GLORY (IMO 8105416),AMPLE GLORY (IMO 8105416): ,Cambodia,General Cargo,2002-04-06 00:00:00,,Marine casualty,,Jeju,,0,,2002
C0004559,1,ASIA PHILIPPINES (IMO 7434262),ASIA PHILIPPINES (IMO 7434262): ,Philippines,Passenger/Ro-Ro Cargo,2002-04-05 00:00:00,,Marine casualty,,"Panglao Island, Bohol",,0,,2002
C0004226,1,EBN HAWKEL (IMO 7915187),EBN HAWKEL (IMO 7915187): ,Libya,General Cargo,2002-04-05 00:00:00,,Very serious marine casualty,,"20 miles off Skikda, Algeria",,0,,2002
C0004557,2,"TANYA (IMO 9218698), VADIM POPOV (IMO 8422436)","TANYA (IMO 9218698): , VADIM POPOV (IMO 8422436): ","Republic of Korea, Russian Federation","General Cargo, Research",2002-04-03 00:00:00,,Marine casualty,,Sea of Japan,,0,,2002
C0004562,1,MATHIAS THESEN (IMO 7324778),MATHIAS THESEN (IMO 7324778): ,Russian Federation,Other Fishing,2002-04-03 00:00:00,,Marine casualty,,"Towed to Esbjerg, Denmark",,0,,2002
C0003966,1,STENA GOTHICA (IMO 7383138),STENA GOTHICA (IMO 7383138): ,Sweden,Passenger/Ro-Ro Cargo,2002-04-02 00:20:00,,Marine casualty,,Eastern approach jetty to Immingham locks,Port approach,1,Unknown,2002
C0004551,1,AQUARIUS (IMO 9147459),AQUARIUS (IMO 9147459): ,Netherlands (Kingdom of),General Cargo,2002-04-02 00:00:00,,Marine casualty,,"60 nm of Cadiz, Spain",,0,,2002
C0004553,1,CAPE HORN (IMO 7704942),CAPE HORN (IMO 7704942): ,United States,Passenger/Ro-Ro Cargo,2002-04-01 00:00:00,,Marine casualty,,800 nm off Honolulu,,0,,2002
C0004556,1,STEADFAST IV (IMO 9144433),STEADFAST IV (IMO 9144433): ,United Kingdom,Fish Catching,2002-03-31 00:00:00,,Marine casualty,,"North Atlantic Ocean, N.W. of Outer Hebrides, Scot",,0,,2002
C0004054,2,"AI GE (IMO 8514825), KOSHI MARU NO. 3","AI GE (IMO 8514825): , KOSHI MARU NO. 3: ","Belize, Unknown","General Cargo, Fish Catching",2002-03-31 00:00:00,,Very serious marine casualty,,"22 kms S.E. of Dogo Island, Shimane prefecture",,0,,2002
C0004554,1,INTERNATIONAL 4 (IMO 7906291),INTERNATIONAL 4 (IMO 7906291): ,Panama,General Cargo,2002-03-30 00:00:00,,Marine casualty,,"Off Paramaribo, Suriname",,0,,2002
C0004566,1,YAPI (IMO 8701507),YAPI (IMO 8701507): ,Cayman Islands (United Kingdom),Oil Tanker,2002-03-30 00:00:00,,Marine casualty,,Suez Canal km 130,,0,,2002
C0004552,1,BALTIC REEFER (IMO 7384106),BALTIC REEFER (IMO 7384106): ,Malta,Refrigerated Cargo,2002-03-30 00:00:00,,Marine casualty,,"North Atlantic Ocean, N.E. of Cape Verde",,0,,2002
C0004579,1,NORLFOLK,NORLFOLK: ,United States,Non-ship structures,2002-03-28 00:00:00,,Very serious marine casualty,,"Norfolk Naval Station, Pier 2, Virginia",,0,,2002
C0004547,1,MODESTE I (IMO 7417202),MODESTE I (IMO 7417202): ,Honduras,Non-ship structures,2002-03-26 00:00:00,,Marine casualty,,North of Haiti,,0,,2002
C0004538,1,AERONAUT,AERONAUT: ,Russian Federation,Fish Catching,2002-03-26 00:00:00,,Very serious marine casualty,,Sea of Okhotsk,,0,,2002
C0004541,1,BLIKUR (IMO 7704849),BLIKUR (IMO 7704849): ,"Faroes, Denmark",Non-ship structures,2002-03-26 00:00:00,,Marine casualty,,"Towed into Kristiansand, Norway",,0,,2002
C0004550,1,STARLITE ELISA (IMO 8403325),STARLITE ELISA (IMO 8403325): ,Panama,General Cargo,2002-03-26 00:00:00,,Marine casualty,,Off Sakaiminato,,0,,2002
C0004543,2,"BRITISH VIGILANCE (IMO 9002611), STENA KING (IMO 7358133)","BRITISH VIGILANCE (IMO 9002611): , STENA KING (IMO 7358133): ","Isle of Man (United Kingdom), Bermuda (United Kingdom)","Oil Tanker, Oil Tanker",2002-03-25 00:00:00,,Marine casualty,,"15nm off Fujairah, United Arab Emirates",,0,,2002
C0004549,1,Shinhaein (IMO 8122696),Shinhaein (IMO 8122696): ,Republic of Korea,General Cargo,2002-03-25 00:00:00,,Marine casualty,34° 14.20' N 134° 38.80' E,"Near Onaruto bridge, Tokushima prefecture",Inland waters,0,,2002
C0004555,1,RANDEFOSS (IMO 6721151),RANDEFOSS (IMO 6721151): ,Saint Vincent and the Grenadines,Other Bulk Dry,2002-03-24 00:00:00,,Marine casualty,,W. of Norway,,0,,2002
C0004539,1,APOLLONIA LION (IMO 7527540),APOLLONIA LION (IMO 7527540): ,Greece,Bulk Dry,2002-03-22 00:00:00,,Marine casualty,,"400 nm W. of Mumbai, Arabian sea",,0,,2002
C0004542,1,BLUE SAPPHIRE (IMO 8819081),BLUE SAPPHIRE (IMO 8819081): ,Liberia,Chemical Tanker,2002-03-21 00:00:00,,Marine casualty,,Entrance to Suez canal,,0,,2002
C0004535,1,KARAM,KARAM: ,Sao Tome and Principe,General Cargo,2002-03-19 00:00:00,,Marine casualty,,"18nm off Faylakah Island, Kuwait",,0,,2002
C0003963,1,LAKE CARLING (IMO 8418758),LAKE CARLING (IMO 8418758): ,Marshall Islands,Bulk Dry,2002-03-19 00:00:00,,Marine casualty,,Off Sept Iles,,1,Unknown,2002
C0004199,1,UNION STAR 22 (IMO 7741445),UNION STAR 22 (IMO 7741445): ,Belize,General Cargo,2002-03-18 00:00:00,,Marine casualty,,"Pulau Pangkor, Malacca Strait, off Penang",,0,,2002
C0004536,1,KATSHESHUK,KATSHESHUK: ,Canada,Fish Catching,2002-03-17 15:45:00,,Very serious marine casualty,,"76nm East-Northeast of Belle Isle, Newfoundland & Labrador",,1,Canada,2002
C0004540,1,BARRIER (IMO 9160970),BARRIER (IMO 9160970): ,Türkiye,Container,2002-03-16 00:00:00,,Marine casualty,,"Off Cape St. Francis, South Africa",,0,,2002
C0004548,2,"PRAIRIE SKY (IMO 9073983), STOLT PERSEVERANCE (IMO 9124471)","PRAIRIE SKY (IMO 9073983): , STOLT PERSEVERANCE (IMO 9124471): ","Panama, Cayman Islands (United Kingdom)","Bulk Dry, Chemical Tanker",2002-03-15 00:00:00,,Marine casualty,,"North of Gamboa, Panama Canal",,0,,2002
C0004201,1,UTESNOYE (IMO 8631829),UTESNOYE (IMO 8631829): ,Russian Federation,Fish Catching,2002-03-15 00:00:00,,Very serious marine casualty,,North Pacific Ocean,,0,,2002
C0003961,2,"BIZON (IMO 8884969), GULDBORG","BIZON (IMO 8884969): , GULDBORG: ","Unknown, Denmark","Towing / Pushing, Fish Catching",2002-03-14 02:30:00,,Very serious marine casualty,,Western part of the Baltic Sea,Open sea,2,Denmark; Denmark,2002
C0004529,1,ERIDAN (IMO 7203261),ERIDAN (IMO 7203261): ,Ukraine,Container,2002-03-13 00:00:00,,Marine casualty,,"Kepez light, Canakkale",,0,,2002
C0004580,1,INSIKO 1907,INSIKO 1907: ,Indonesia,Fish Catching,2002-03-13 00:00:00,,Very serious marine casualty,,S.W. of Hawaii Island (United States),,0,,2002
C0004052,2,"A.M.  VELLA (IMO 7216878), KOTA HADIAH (IMO 9151307)","A.M.  VELLA (IMO 7216878): , KOTA HADIAH (IMO 9151307): ","Belize, Singapore","Non-ship structures, Container",2002-03-12 21:43:00,,Very serious marine casualty,,"Kap Shui Channel, S.E. of Ha Pang light",Coastal waters,1,Singapore,2002
C0004525,1,HAI SOON XII (IMO 7825112),HAI SOON XII (IMO 7825112): ,Singapore,Non-ship structures,2002-03-12 00:00:00,,Marine casualty,,"Arrived Port of Spain, Trinidad",,0,,2002
C0004527,2,"CURUG MAS (IMO 8022640), FLORES (IMO 8211368)","CURUG MAS (IMO 8022640): , FLORES (IMO 8211368): ","Indonesia, Indonesia","General Cargo, Non-ship structures",2002-03-12 00:00:00,,Marine casualty,,"Belawan coast, Sumatera",,0,,2002
C0004065,1,CAMADAN (IMO 7827407),CAMADAN (IMO 7827407): ,Türkiye,General Cargo,2002-03-11 00:00:00,,Very serious marine casualty,,12 nm S.W. of Malta,,0,,2002
C0004526,1,SEVEN OCEAN (IMO 9014406),SEVEN OCEAN (IMO 9014406): ,Panama,Bulk Dry,2002-03-10 00:00:00,,Marine casualty,,Gulf of Finland,,0,,2002
C0004524,1,CANMAR TRIUMPH (IMO 7718620),CANMAR TRIUMPH (IMO 7718620): ,Bermuda (United Kingdom),Container,2002-03-10 00:00:00,,Marine casualty,,Arrived Cadiz,,0,,2002
C0004534,1,WHITHAVEN (IMO 7219088),WHITHAVEN (IMO 7219088): ,United Kingdom,Non-ship structures,2002-03-09 01:33:00,,Marine casualty,,"Near New Ross, river Barrow, county Wexford",,1,Unknown,2002
C0004532,1,OKTYABR (IMO 8860523),OKTYABR (IMO 8860523): ,Russian Federation,Fish Catching,2002-03-09 00:00:00,,Marine casualty,,"Off Urup Island, Kurile Islands",,0,,2002
C0004533,1,PLAYA DA CATIVA (IMO 8802349),PLAYA DA CATIVA (IMO 8802349): ,Spain,Fish Catching,2002-03-09 00:00:00,,Marine casualty,,"Atlantic ocean, N.W. of Ireland",,0,,2002
C0004578,1,CSL TADOUSSAC (IMO 6918716),CSL TADOUSSAC (IMO 6918716): ,Canada,Non-ship structures,2002-03-09 00:00:00,,Marine casualty,,Hamilton,,0,,2002
C0004581,1,EURO TRES,EURO TRES: ,Philippines,General Cargo,2002-03-08 00:00:00,,Marine casualty,,Entrance to the Dumaguete Channel,,0,,2002
C0004530,1,GREYHOUND (IMO 6828351),GREYHOUND (IMO 6828351): ,Philippines,General Cargo,2002-03-08 00:00:00,,Marine casualty,,"Gingoog Bay/Butan Bay, Mindanao Island",,0,,2002
C0004531,1,MAERSK LA GUAIRA (IMO 9117650),MAERSK LA GUAIRA (IMO 9117650): ,Antigua and Barbuda,Container,2002-03-07 00:00:00,,Marine casualty,,"Guayaquil access Channel, Buoy 22, near Posorja",,0,,2002
C0004515,1,DIANA Z (IMO 7700063),DIANA Z (IMO 7700063): ,Panama,Bulk Dry,2002-03-07 00:00:00,,Marine casualty,,"Gatun lake, Panama Canal",,0,,2002
C0004528,1,DUISBERG,DUISBERG: ,Antigua and Barbuda,General Cargo,2002-03-06 00:00:00,,Marine casualty,,Bay of Biscay,,0,,2002
C0004520,1,SVILEN RUSSEV (IMO 8128145),SVILEN RUSSEV (IMO 8128145): ,Bulgaria,Bulk Dry,2002-03-06 00:00:00,,Marine casualty,,"Elbe anchorage, Cuxhaven",,0,,2002
C0004521,1,TISTA (IMO 7724021),TISTA (IMO 7724021): ,Gibraltar (United Kingdom),General Cargo,2002-03-04 00:00:00,,Marine casualty,,Rauma,,0,,2002
C0004522,1,TROPICAL,TROPICAL: ,Portugal,Fish Catching,2002-03-04 00:00:00,,Marine casualty,,"Off Port St. John's, South Africa",,0,,2002
C0004517,1,LOMUR (IMO 8714372),LOMUR (IMO 8714372): ,United Kingdom,Fish Catching,2002-03-04 00:00:00,,Marine casualty,,"North pier, Buckie, Scotland",,0,,2002
C0004514,1,BLACK PRINCE (IMO 6613328),BLACK PRINCE (IMO 6613328): ,Bahamas,Passenger,2002-03-03 00:00:00,,Marine casualty,,Casilda,,0,,2002
C0004519,1,SOGNEFORD (IMO 8311302),SOGNEFORD (IMO 8311302): ,Norway,Passenger/Ro-Ro Cargo,2002-03-02 00:00:00,,Marine casualty,,Near Kalvanes,,0,,2002
C0004513,1,AGDENES (IMO 9018804),AGDENES (IMO 9018804): ,Norway,Non-ship structures,2002-03-02 00:00:00,,Marine casualty,,"Geitoy, off Froya Island",,0,,2002
C0004163,1,MILLENNIUM EXPRESS II (IMO 6710906),MILLENNIUM EXPRESS II (IMO 6710906): ,Panama,Non-ship structures,2002-03-02 00:00:00,,Marine casualty,,"Ionian Sea, S. of the Strofades Islands",,0,,2002
C0004516,1,ELEGANCE (IMO 9173575),ELEGANCE (IMO 9173575): ,United Kingdom,Fish Catching,2002-03-01 00:00:00,,Marine casualty,,"Peterhead North harbour, Scotland",,0,,2002
C0004512,1,WINTERSET (IMO 7609726),WINTERSET (IMO 7609726): ,Marshall Islands,General Cargo,2002-02-27 00:00:00,,Marine casualty,,Caribbean Sea,,0,,2002
C0004690,1,JOHNNY (IMO 7617424),JOHNNY (IMO 7617424): ,Malta,General Cargo,2002-02-27 00:00:00,,Marine casualty,,South Atlantic Ocean,,0,,2002
C0004693,1,NADINE (IMO 7900091),NADINE (IMO 7900091): ,Antigua and Barbuda,General Cargo,2002-02-26 00:00:00,,Marine casualty,,Off Ile d'Oleron,,0,,2002
C0004694,2,"A. V. KASTNER (IMO 8605208), SWIFT","A. V. KASTNER (IMO 8605208): , SWIFT: ","Bermuda (United Kingdom), Unknown","Bulk Dry, Towing / Pushing",2002-02-25 00:00:00,,Very serious marine casualty,,Elk river,,1,Bermuda (United Kingdom),2002
C0004241,1,FILIPPOS K II (IMO 7803542),FILIPPOS K II (IMO 7803542): ,Greece,Other Bulk Dry,2002-02-25 00:00:00,,Marine casualty,,11 nm N.E. of Skyros Island,,0,,2002
C0003960,2,"ANJOLA (IMO 7633349), AROLD (IMO 6506329)","ANJOLA (IMO 7633349): , AROLD (IMO 6506329): ","Antigua and Barbuda, Saint Vincent and the Grenadines","General Cargo, General Cargo",2002-02-25 00:00:00,,Marine incident,,Near Grove light in the River Trent,,1,Unknown,2002
C0004518,1,M. MELODY (IMO 7519725),M. MELODY (IMO 7519725): ,Bahamas,General Cargo,2002-02-24 00:00:00,,Marine casualty,,"Off Luanda, Angola",,0,,2002
C0004688,1,COLOR FESTIVAL (IMO 8306486),COLOR FESTIVAL (IMO 8306486): ,Norway,Non-ship structures,2002-02-23 00:00:00,,Marine casualty,,Hirtshals,,0,,2002
C0004689,1,JANINA (IMO 8811728),JANINA (IMO 8811728): ,Saint Vincent and the Grenadines,General Cargo,2002-02-23 00:00:00,,Marine casualty,,"North sea, towed to Sunderland",,0,,2002
C0004695,1,WINCHESTER,WINCHESTER: ,Canada,Non-ship structures,2002-02-22 00:00:00,,Marine casualty,,"South East Bight, Newfoundland",,0,,2002
C0004691,1,MACHIAVELLI (IMO 9068110),MACHIAVELLI (IMO 9068110): ,Netherlands (Kingdom of),Dredging,2002-02-22 00:00:00,,Very serious marine casualty,,Off Klaipeda,,0,,2002
C0004181,1,ROLLNES (IMO 7366013),ROLLNES (IMO 7366013): ,Bahamas,Bulk Dry,2002-02-19 19:35:00,,Marine casualty,60° 08.30' N 5° 54.00' E,,,2,Bahamas; Bahamas,2002
C0004683,1,DOURO CHEMIST (IMO 9020429),DOURO CHEMIST (IMO 9020429): ,Portugal,Chemical Tanker,2002-02-19 00:00:00,,Marine casualty,,"Nauvo Island, Turku archipelago",,0,,2002
C0004684,1,FORAGER,FORAGER: ,United States,Fish Catching,2002-02-19 00:00:00,,Very serious marine casualty,,"3 miles off Point Judith, Rhode Island",,0,,2002
C0004582,1,LUKE DAVID,LUKE DAVID: ,United States,Non-ship structures,2002-02-19 00:00:00,,Marine casualty,,"20 miles off Dauphin Island, Alabama",,0,,2002
C0004072,1,CSL PACIFIC (IMO 7420716),CSL PACIFIC (IMO 7420716): ,Bahamas,Bulk Dry,2002-02-18 00:00:00,,Marine incident,,"S. of Portland, Victoria, at sea",,2,Australia; Unknown,2002
C0004687,1,VIENTO (IMO 7926942),VIENTO (IMO 7926942): ,Malta,Bulk Dry,2002-02-14 00:00:00,,Marine casualty,,"35 nm off Kefallonia Island, Greece",,0,,2002
C0004685,1,PANDA (IMO 7017430),PANDA (IMO 7017430): ,Lebanon,General Cargo,2002-02-13 00:00:00,,Marine casualty,,"Tawile Island, Tripoli Islands",,0,,2002
C0004678,1,MERCOSUL URUGUAY (IMO 9163556),MERCOSUL URUGUAY (IMO 9163556): ,Netherlands (Kingdom of),General Cargo,2002-02-13 00:00:00,,Marine casualty,,"After sailing from Guayaquil, Ecuador",,0,,2002
C0004681,1,SUN (IMO 8220163),SUN (IMO 8220163): ,Malta,Bulk Dry,2002-02-12 00:00:00,,Marine casualty,,"Delaware river, near buoy 22",,0,,2002
C0004680,1,SOUTH TRADER (IMO 7368889),SOUTH TRADER (IMO 7368889): ,Liberia,Chemical Tanker,2002-02-11 00:00:00,,Marine casualty,,"Off Cornwall, England",,0,,2002
C0004675,1,ALBAKOR (IMO 8522004),ALBAKOR (IMO 8522004): ,Russian Federation,Fish Catching,2002-02-11 00:00:00,,Marine casualty,,Off Trelleborg,,0,,2002
C0004197,1,TRIUMPH KAOHSIUNG (IMO 7717937),TRIUMPH KAOHSIUNG (IMO 7717937): ,Panama,General Cargo,2002-02-11 00:00:00,,Very serious marine casualty,,"East China Sea, 110 kms W. of Uku Island (Goto Isl",,0,,2002
C0004686,1,PRINCESA TEGUISE (IMO 9015113),PRINCESA TEGUISE (IMO 9015113): ,Canary Islands (Spain),Non-ship structures,2002-02-10 00:00:00,,Marine casualty,,Off Las Palmas,,0,,2002
C0004584,1,LORINE STEEL,LORINE STEEL: ,Antigua and Barbuda,,2002-02-10 00:00:00,,Very serious marine casualty,,"14nm off St. Thomas, U.S. Virgin Islands",,1,Antigua and Barbuda,2002
C0004676,1,GERHEIN G (IMO 8806084),GERHEIN G (IMO 8806084): ,Antigua and Barbuda,General Cargo,2002-02-09 00:00:00,,Marine casualty,,North sea,,0,,2002
C0004670,1,AMELIA (IMO 8521191),AMELIA (IMO 8521191): ,Italy,Bulk Dry,2002-02-09 00:00:00,,Marine casualty,,Off Lazaro Cardenas,,0,,2002
C0004189,1,TANTO (IMO 5352496),TANTO (IMO 5352496): ,Norway,General Cargo,2002-02-09 00:00:00,,Very serious marine casualty,,Between Bodo and Bilksvaer Island,,0,,2002
C0004235,1,EIFFEL SUN (IMO 7528192),EIFFEL SUN (IMO 7528192): ,Belize,General Cargo,2002-02-08 00:00:00,,Very serious marine casualty,,125 nm N.E. of Lanzarote,,0,,2002
C0004677,1,HORNET (IMO 7124219),HORNET (IMO 7124219): ,Thailand,General Cargo,2002-02-08 00:00:00,,Marine casualty,,"Chao Phraya river, Bangkok",,0,,2002
C0004682,1,ULSAN SPIRIT (IMO 8806527),ULSAN SPIRIT (IMO 8806527): ,Bahamas,Oil Tanker,2002-02-08 00:00:00,,Marine casualty,,Persian Gulf,,0,,2002
C0004679,1,MING ZENITH (IMO 9118317),MING ZENITH (IMO 9118317): ,Singapore,Container,2002-02-07 00:00:00,,Marine casualty,,"Suez Canal, km 114",,0,,2002
C0004669,1,SUNNY BLOSSOM (IMO 8502482),SUNNY BLOSSOM (IMO 8502482): ,Bahamas,Chemical Tanker,2002-02-07 00:00:00,,Marine casualty,,Off Algeria,,0,,2002
C0004583,1,GERMAN TRADER (IMO 8014203),GERMAN TRADER (IMO 8014203): ,Liberia,Chemical Tanker,2002-02-07 00:00:00,,Marine casualty,,"Off Belawan, Sumatera Island, Indonesia",,0,,2002
C0004588,1,ALOHA (IMO 7200623),ALOHA (IMO 7200623): ,Panama,Non-ship structures,2002-02-07 00:00:00,,Very serious marine casualty,,"100 nm N.E. of Cozumel, Mexico",,0,,2002
C0004050,1,ALBARAKAH 1 (IMO 6619621),ALBARAKAH 1 (IMO 6619621): ,Somalia,General Cargo,2002-02-07 00:00:00,,Very serious marine casualty,,Arabian sea,,0,,2002
C0004674,2,"ELISABETH, TORNADO (IMO 7346207)","ELISABETH: , TORNADO (IMO 7346207): ","Unknown, Belgium","Container, Fish Catching",2002-02-06 00:00:00,,Marine casualty,,North Sea,,0,,2002
C0004511,1,JODY F MILLENIUM (IMO 9224099),JODY F MILLENIUM (IMO 9224099): ,Panama,Bulk Dry,2002-02-06 00:00:00,,Marine casualty,,Off Gisborne,,0,,2002
C0004672,1,KRONVIKEN (IMO 8613853),KRONVIKEN (IMO 8613853): ,Norway,Oil Tanker,2002-02-05 00:00:00,,Marine casualty,,En route from Donges (France) to Setubal (Portugal,,0,,2002
C0004673,1,OXANA TRADER (IMO 8506397),OXANA TRADER (IMO 8506397): ,Antigua and Barbuda,General Cargo,2002-02-04 00:00:00,,Marine casualty,,"English Channel, S. of Cornwall",,0,,2002
C0004510,1,BOHINJ (IMO 8112964),BOHINJ (IMO 8112964): ,Antigua and Barbuda,Bulk Dry,2002-02-02 00:00:00,,Marine casualty,,"Immingham oil terminal, berth 1",,0,,2002
C0004067,1,CELESTIAL DAWN (IMO 7324182),CELESTIAL DAWN (IMO 7324182): ,Ireland,Fish Catching,2002-02-02 00:00:00,,Marine casualty,,Dingle harbour,,1,Unknown,2002
