PROJECT,OPERATOR,FID_YEAR,TOTAL_CAPEX_USD_MM,DEVELOPMENT_TYPE,WELL_COUNT,STAGE,SHARE_MID,COST_MID_USD_MM,COST_LOW_USD_MM,COST_HIGH_USD_MM,PROVENANCE,METHOD
Coral North FLNG,Eni,2025,7200.0,new_host_fpso,,install,0.0800,576.0,288.0,864.0,allocated,"Top-down back-allocation of a disclosed $7,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Coral North FLNG,Eni,2025,7200.0,new_host_fpso,,hookup,0.0500,360.0,144.0,576.0,allocated,"Top-down back-allocation of a disclosed $7,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Hammerhead,ExxonMobil,2025,6800.0,new_host_fpso,18,host,0.3000,2040.0,1360.0,2720.0,allocated,"Top-down back-allocation of a disclosed $6,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.00 for 18 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Hammerhead,ExxonMobil,2025,6800.0,new_host_fpso,18,surf,0.2400,1632.0,1088.0,2176.0,allocated,"Top-down back-allocation of a disclosed $6,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.00 for 18 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Hammerhead,ExxonMobil,2025,6800.0,new_host_fpso,18,drill,0.2200,1496.0,952.0,2040.0,allocated,"Top-down back-allocation of a disclosed $6,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.00 for 18 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Hammerhead,ExxonMobil,2025,6800.0,new_host_fpso,18,complete,0.1100,748.0,408.0,1088.0,allocated,"Top-down back-allocation of a disclosed $6,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.00 for 18 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Hammerhead,ExxonMobil,2025,6800.0,new_host_fpso,18,install,0.0800,544.0,272.0,816.0,allocated,"Top-down back-allocation of a disclosed $6,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.00 for 18 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Hammerhead,ExxonMobil,2025,6800.0,new_host_fpso,18,hookup,0.0500,340.0,136.0,544.0,allocated,"Top-down back-allocation of a disclosed $6,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.00 for 18 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Tiber-Guadalupe,BP,2025,5000.0,new_host_semi,8,host,0.2700,1350.0,900.0,1800.0,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.00 for 8 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Tiber-Guadalupe,BP,2025,5000.0,new_host_semi,8,drill,0.2600,1300.0,850.0,1750.0,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.00 for 8 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Tiber-Guadalupe,BP,2025,5000.0,new_host_semi,8,surf,0.2200,1100.0,700.0,1500.0,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.00 for 8 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Tiber-Guadalupe,BP,2025,5000.0,new_host_semi,8,complete,0.1300,650.0,400.0,900.0,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.00 for 8 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Tiber-Guadalupe,BP,2025,5000.0,new_host_semi,8,install,0.0700,350.0,150.0,550.0,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.00 for 8 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Tiber-Guadalupe,BP,2025,5000.0,new_host_semi,8,hookup,0.0500,250.0,100.0,400.0,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.00 for 8 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
