Plan Control Code,Plan Control Number,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block,Operator Name,Operator Number,Plan Type Code,Received Date,Plan Final Action Code,Plan Final Action Date,NEPA Determination Type,Water Depth (feet),Plan
N,6653,G18946,HI,A 153,G18946,HI,A 153,Union Oil Company of California,00003,DOCD,11/5/1999,A,5/16/2000,,127,
S,5115,G04085,WC,  170,G04085,WC,  170,CNOOC Petroleum Offshore U.S.A. Inc.,02079,DOCD,11/5/1999,A,12/9/1999,CERA,35,
N,6653,,,,G18946,HI,A 153,Union Oil Company of California,00003,DOCD,11/5/1999,A,5/16/2000,,127,
N,6654,G21072,EC,  211,G21072,EC,  211,Mariner Gulf of Mexico LLC,02169,POE,11/5/1999,A,12/21/1999,CERA,117,
N,6654,G21072,EC,  211,G21072,EC,  211,Mariner Gulf of Mexico LLC,02169,POE,11/5/1999,A,12/21/1999,CERA,116,
S,5113,G04085,WC,  170,G04085,WC,  170,CNOOC Petroleum Offshore U.S.A. Inc.,02079,POE,11/4/1999,A,11/24/1999,,35,
N,6652,G21224,GC,  737,G21224,GC,  737,"Mariner Energy, Inc.",00818,POE,11/4/1999,A,1/26/2000,,4447,
N,6652,G21224,GC,  737,G21224,GC,  737,"Mariner Energy, Inc.",00818,POE,11/4/1999,A,1/26/2000,,4459,
N,6651,G21053,WC,  287,G17780,WC,  161,"Stone Energy, L.L.C.",02018,POE,11/4/1999,A,1/18/2000,CERA,45,
S,5114,00479,EI,   53, 00479,EI,   53,Sabine Oil & Gas Corporation,00048,DOCD,11/4/1999,A,2/3/2000,,19,
S,5114,,,, 00479,EI,   53,Sabine Oil & Gas Corporation,00048,DOCD,11/4/1999,A,2/3/2000,,19,
N,6652,G21224,GC,  737,G21224,GC,  737,"Mariner Energy, Inc.",00818,POE,11/4/1999,A,1/26/2000,,4429,
N,6650,G18859,PN,  890,G18859,PN,  890,"Vastar Resources, Inc.",01855,POE,11/3/1999,A,11/29/1999,CERA,173,
N,6649,,,,G14585,MP,  264,"Vastar Resources, Inc.",01855,DOCD,11/3/1999,A,1/21/2000,CERA,235,
N,6648,G20083,GC,  646,G20083,GC,  646,"Mariner Energy, Inc.",00818,POE,11/3/1999,A,1/18/2000,CERA,4320,
N,6648,G20083,GC,  646,G20083,GC,  646,"Mariner Energy, Inc.",00818,POE,11/3/1999,A,1/18/2000,CERA,4075,
N,6649,G14585,MP,  264,G14585,MP,  264,"Vastar Resources, Inc.",01855,DOCD,11/3/1999,A,1/21/2000,CERA,235,
N,6650,G18859,PN,  890,G18859,PN,  890,"Vastar Resources, Inc.",01855,POE,11/3/1999,A,11/29/1999,CERA,175,
N,6647,G16542,VK,  385,G16542,VK,  385,El Paso Production GOM Inc.,01138,DOCD,11/3/1999,A,2/28/2000,CERA,142,
N,6650,G18859,PN,  890,G18859,PN,  890,"Vastar Resources, Inc.",01855,POE,11/3/1999,A,11/29/1999,CERA,176,
N,6647,,,,G16542,VK,  385,El Paso Production GOM Inc.,01138,DOCD,11/3/1999,A,2/28/2000,CERA,142,
N,6646,G19006,EB,  465,G19006,EB,  465,Samedan Oil Corporation,00185,POE,11/2/1999,A,1/24/2000,,2800,
S,5112,G02274,VR,  369,G02274,VR,  369,"Transworld Exploration and Production, Inc.",02108,POE,11/2/1999,A,12/29/1999,CERA,310,
N,6646,G17255,EB,  421,G17255,EB,  421,Samedan Oil Corporation,00185,POE,11/2/1999,A,1/24/2000,,2790,
N,6646,G17259,EB,  464,G17255,EB,  421,Samedan Oil Corporation,00185,POE,11/2/1999,A,1/24/2000,,2790,
R,3370,,,,G05064,MO,  864,Chevron U.S.A. Inc.,00078,DOCD,11/1/1999,A,12/1/1999,CERA,58,
N,6645,G20123,GC,  999,G20123,GC,  999,Marathon Oil Company,00724,POE,11/1/1999,A,12/2/1999,CERA,6671,
S,5110,00387,ST,   24, 00387,ST,   24,"EPL Oil & Gas, LLC",02266,DOCD,11/1/1999,A,11/29/1999,CERA,55,
S,5111,G09580,EI,   87,G09580,EI,   87,Anadarko E&P Company LP,00148,DOCD,11/1/1999,A,12/29/1999,CERA,17,
N,6645,G20123,GC,  999,G20123,GC,  999,Marathon Oil Company,00724,POE,11/1/1999,A,12/2/1999,CERA,6822,
S,5111,,,,G09580,EI,   87,Anadarko E&P Company LP,00148,DOCD,11/1/1999,A,12/29/1999,CERA,17,
S,5109,G13925,ST,   11,G13925,ST,   11,Bois d'Arc Offshore Ltd.,02268,POE,11/1/1999,A,12/28/1999,,30,
R,3369,G16479,WD,  108,G02937,WD,  109,Texaco Exploration and Production Inc.,00771,POE,11/1/1999,X,11/10/1999,CERA,132,
N,6645,G20123,GC,  999,G20123,GC,  999,Marathon Oil Company,00724,POE,11/1/1999,A,12/2/1999,CERA,6719,
N,6645,G20123,GC,  999,G20123,GC,  999,Marathon Oil Company,00724,POE,11/1/1999,A,12/2/1999,CERA,6779,
N,6640,G15820,HI,A 367,G15820,HI,A 367,"EP Energy Management, L.L.C.",00491,POE,10/29/1999,A,5/2/2000,SEAF,295,
N,6643,,,,G14427,VR,  375,Mariner Gulf of Mexico LLC,02169,DOCD,10/29/1999,A,12/30/1999,CERA,302,
S,5143,G15108,WC,  526,G15102,WC,  515,"EP Energy Management, L.L.C.",00491,POE,10/29/1999,A,3/20/2000,CERA,174,
S,5108,,,,G14538,ST,  212,Mariner Gulf of Mexico LLC,02169,DOCD,10/29/1999,A,12/29/1999,CERA,146,
N,6644,G15108,WC,  526,G15102,WC,  515,"EP Energy Management, L.L.C.",00491,POE,10/29/1999,X,3/21/2000,CERA,174,
S,5108,G16435,ST,  211,G14538,ST,  212,Mariner Gulf of Mexico LLC,02169,DOCD,10/29/1999,A,12/29/1999,CERA,146,
N,6641,G15108,WC,  526,G15108,WC,  526,"EP Energy Management, L.L.C.",00491,POE,10/29/1999,A,12/10/1999,CERA,178,
N,6642,G21080,EC,  364,G21080,EC,  364,Remington Oil and Gas Corporation,01704,POE,10/29/1999,A,11/26/1999,CERA,353,
N,6639,G20796,GB,  754,G20796,GB,  754,Hess Corporation,00059,POE,10/29/1999,A,12/22/1999,,2520,
N,6639,G20796,GB,  754,G20796,GB,  754,Hess Corporation,00059,POE,10/29/1999,A,12/22/1999,,2705,
N,6640,G15820,HI,A 367,G15820,HI,A 367,"EP Energy Management, L.L.C.",00491,POE,10/29/1999,A,5/2/2000,SEAF,325,
N,6642,G21080,EC,  364,G21080,EC,  364,Remington Oil and Gas Corporation,01704,POE,10/29/1999,A,11/26/1999,CERA,357,
N,6639,G20796,GB,  754,G20796,GB,  754,Hess Corporation,00059,POE,10/29/1999,A,12/22/1999,,2640,
N,6640,G15820,HI,A 367,G15820,HI,A 367,"EP Energy Management, L.L.C.",00491,POE,10/29/1999,A,5/2/2000,SEAF,315,
S,5108,G19831,ST,  219,G14538,ST,  212,Mariner Gulf of Mexico LLC,02169,DOCD,10/29/1999,A,12/29/1999,CERA,146,
R,3368,G21095,VR,  306,G21095,VR,  306,"IP Petroleum Company, Inc.",01001,POE,10/29/1999,V,11/3/1999,,202,
N,6643,G14427,VR,  375,G14427,VR,  375,Mariner Gulf of Mexico LLC,02169,DOCD,10/29/1999,A,12/30/1999,CERA,302,
N,6639,G20796,GB,  754,G20796,GB,  754,Hess Corporation,00059,POE,10/29/1999,A,12/22/1999,,2420,
N,6640,G15820,HI,A 367,G15820,HI,A 367,"EP Energy Management, L.L.C.",00491,POE,10/29/1999,A,5/2/2000,SEAF,310,
N,6638,G19222,GB,  949,G19222,GB,  949,Exxon Mobil Corporation,00276,POE,10/28/1999,A,3/1/2000,,4905,
N,6638,G19222,GB,  949,G19222,GB,  949,Exxon Mobil Corporation,00276,POE,10/28/1999,A,3/1/2000,,5000,
N,6638,G19222,GB,  949,G19222,GB,  949,Exxon Mobil Corporation,00276,POE,10/28/1999,A,3/1/2000,,4750,
S,5105,,,,G01372,BS,   55,Chevron U.S.A. Inc.,00078,DOCD,10/26/1999,A,1/25/2000,CERA,25,
S,5107,G06922,EW,  959,G06922,EW,  959,El Paso Production GOM Inc.,01138,POE,10/26/1999,A,12/14/1999,CERA,1500,
S,5105,,,,G01452,BS,   54,Chevron U.S.A. Inc.,00078,DOCD,10/26/1999,A,1/25/2000,CERA,25,
S,5105,G01372,BS,   55,G01372,BS,   55,Chevron U.S.A. Inc.,00078,DOCD,10/26/1999,A,1/25/2000,CERA,25,
R,3366,,,, 00020,ST,   67,Exxon Mobil Corporation,00276,DOCD,10/26/1999,A,11/16/1999,CERA,30,
S,5105,G01452,MP,   43,G01452,BS,   54,Chevron U.S.A. Inc.,00078,DOCD,10/26/1999,A,1/25/2000,CERA,25,
S,5106,00263,ST,   21, 00263,ST,   21,Walter Oil & Gas Corporation,00730,DOCD,10/26/1999,A,12/20/1999,CERA,47,
R,3367,G19939,MC,  348,G19939,MC,  348,Marathon Oil Company,00724,POE,10/26/1999,A,11/5/1999,CERA,7216,
S,5107,G13091,EW, 1003,G13091,EW, 1003,El Paso Production GOM Inc.,01138,POE,10/26/1999,A,12/14/1999,CERA,1560,
R,3365,,,,G01083,WD,   73,Exxon Mobil Corporation,00276,DOCD,10/25/1999,A,11/22/1999,CERA,0,
N,6637,G20267,WR,   77,G20267,WR,   77,Marathon Oil Company,00724,POE,10/22/1999,A,12/7/1999,CERA,7863,
N,6637,G20287,WR,  165,G20287,WR,  165,Marathon Oil Company,00724,POE,10/22/1999,A,12/7/1999,CERA,7997,
N,6637,G20287,WR,  165,G20287,WR,  165,Marathon Oil Company,00724,POE,10/22/1999,A,12/7/1999,CERA,8087,
N,6637,G20287,WR,  165,G20287,WR,  165,Marathon Oil Company,00724,POE,10/22/1999,A,12/7/1999,CERA,8018,
N,6636,G21165,MC,  373,G21165,MC,  373,Hess Corporation,00059,POE,10/22/1999,A,4/6/2000,,2700,
N,6636,G21165,MC,  373,G21165,MC,  373,Hess Corporation,00059,POE,10/22/1999,A,4/6/2000,,2860,
N,6636,G21165,MC,  373,G21165,MC,  373,Hess Corporation,00059,POE,10/22/1999,A,4/6/2000,,2940,
N,6637,G21239,WR,  121,G21239,WR,  121,Marathon Oil Company,00724,POE,10/22/1999,A,12/7/1999,CERA,7817,
S,5104,G02719,HI,A 582,G02719,HI,A 582,Texaco Exploration and Production Inc.,00771,POE,10/21/1999,A,11/15/1999,CERA,440,
S,5104,G02719,HI,A 582,G02719,HI,A 582,Texaco Exploration and Production Inc.,00771,POE,10/21/1999,A,11/15/1999,CERA,430,
S,5104,G02719,HI,A 582,G02719,HI,A 582,Texaco Exploration and Production Inc.,00771,POE,10/21/1999,A,11/15/1999,CERA,420,
S,5103,G14205,EB,  602,G14205,EB,  602,Anadarko US Offshore LLC,02219,POE,10/20/1999,A,11/12/1999,CERA,3680,
S,5102,G20623,GA,  190,G20623,GA,  190,The Houston Exploration Company,01046,POE,10/20/1999,A,10/25/1999,CERA,57,
R,3364,G17873,EC,  284,G17873,EC,  284,El Paso Production GOM Inc.,01138,POE,10/20/1999,A,11/18/1999,CERA,175,
N,6635,G18192,MC,  110,G05825,MC,  109,Shell Offshore Inc.,00689,DOCD,10/20/1999,A,1/14/2000,CERA,1030,
R,3364,G17873,EC,  284,G17873,EC,  284,El Paso Production GOM Inc.,01138,POE,10/20/1999,A,11/18/1999,CERA,176,
R,3364,G17873,EC,  284,G17873,EC,  284,El Paso Production GOM Inc.,01138,POE,10/20/1999,A,11/18/1999,CERA,178,
S,5099,G02418,HI,A 327,G02418,HI,A 327,Hall-Houston Oil Company,00846,DOCD,10/19/1999,A,11/23/1999,CERA,224,
S,5100,G17912,VR,  253,G05431,VR,  252,"EP Energy Management, L.L.C.",00491,DOCD,10/19/1999,A,12/16/1999,CERA,140,
S,5099,,,,G02418,HI,A 327,Hall-Houston Oil Company,00846,DOCD,10/19/1999,A,11/23/1999,CERA,221,
S,5099,,,,G02418,HI,A 327,Hall-Houston Oil Company,00846,DOCD,10/19/1999,A,11/23/1999,CERA,224,
S,5099,G02418,HI,A 327,G02418,HI,A 327,Hall-Houston Oil Company,00846,DOCD,10/19/1999,A,11/23/1999,CERA,221,
R,3363,G17938,SM,  105,G17938,SM,  105,Forcenergy Inc,01832,POE,10/19/1999,A,11/12/1999,CERA,186,
N,6634,G21096,VR,  326,G21096,VR,  326,"IP Petroleum Company, Inc.",01001,POE,10/19/1999,A,12/1/1999,CERA,215,
S,5101,G14586,MP,  277,G14586,MP,  277,"EP Energy Management, L.L.C.",00491,DOCD,10/19/1999,A,11/12/1999,CERA,224,
S,5097,00809,EI,  227, 00809,EI,  227,"Prime Natural Resources, Inc.",01911,DOCD,10/18/1999,A,11/23/1999,,121,
N,6632,G15050,WC,   33,G15050,WC,   33,"Vastar Resources, Inc.",01855,POE,10/18/1999,A,1/11/2000,CERA,29,
N,6633,G18055,ST,  213,G18055,ST,  213,"LLOG Exploration Offshore, L.L.C.",02058,POE,10/18/1999,A,1/4/2000,CERA,137,
R,3362,G15348,ST,  316,G15348,ST,  316,Petrobras America Inc.,01207,POE,10/18/1999,V,10/25/1999,,500,
R,3361,G14585,MP,  264,G14585,MP,  264,"Vastar Resources, Inc.",01855,POE,10/18/1999,A,10/28/1999,CERA,237,
S,5098,G09086,HI,  200,G09086,HI,  200,Walter Oil & Gas Corporation,00730,POE,10/18/1999,A,11/30/1999,CERA,51,
S,5096,G09191,EB,  688,G09191,EB,  688,Anadarko US Offshore LLC,02219,POE,10/15/1999,A,12/28/1999,CERA,3813,
S,5096,G09191,EB,  688,G09191,EB,  688,Anadarko US Offshore LLC,02219,POE,10/15/1999,A,12/28/1999,CERA,3825,
S,5096,G09191,EB,  688,G09191,EB,  688,Anadarko US Offshore LLC,02219,POE,10/15/1999,A,12/28/1999,CERA,3594,
S,5096,G09191,EB,  688,G09191,EB,  688,Anadarko US Offshore LLC,02219,POE,10/15/1999,A,12/28/1999,CERA,3818,
N,6631,G18438,GC,  785,G18438,GC,  785,Union Oil Company of California,00003,POE,10/14/1999,A,11/30/1999,CERA,7138,
N,6631,G18438,GC,  785,G18438,GC,  785,Union Oil Company of California,00003,POE,10/14/1999,A,11/30/1999,CERA,7165,
N,6631,G18438,GC,  785,G18438,GC,  785,Union Oil Company of California,00003,POE,10/14/1999,A,11/30/1999,CERA,7157,
N,6631,G18439,GC,  786,G18439,GC,  786,Union Oil Company of California,00003,POE,10/14/1999,A,11/30/1999,CERA,7070,
N,6631,G18439,GC,  786,G18439,GC,  786,Union Oil Company of California,00003,POE,10/14/1999,A,11/30/1999,CERA,7091,
N,6629,G18631,WR,   36,G18631,WR,   36,Union Oil Company of California,00003,POE,10/13/1999,A,12/22/1999,,8143,
N,6630,G21245,WR,  678,G21245,WR,  678,Union Oil Company of California,00003,POE,10/13/1999,A,11/29/1999,CERA,6902,
N,6630,G21245,WR,  678,G21245,WR,  678,Union Oil Company of California,00003,POE,10/13/1999,A,11/29/1999,CERA,6973,
N,6630,G21245,WR,  678,G21245,WR,  678,Union Oil Company of California,00003,POE,10/13/1999,A,11/29/1999,CERA,7096,
N,6629,G18640,WR,   80,G18640,WR,   80,Union Oil Company of California,00003,POE,10/13/1999,A,12/22/1999,,8184,
S,5095,G09184,EB,  643,G09184,EB,  643,Anadarko US Offshore LLC,02219,POE,10/13/1999,A,10/18/1999,CERA,3450,
N,6629,G18631,WR,   36,G18631,WR,   36,Union Oil Company of California,00003,POE,10/13/1999,A,12/22/1999,,8039,
N,6629,G18640,WR,   80,G18640,WR,   80,Union Oil Company of California,00003,POE,10/13/1999,A,12/22/1999,,8213,
S,5093,G01106,WD,  133,G01106,WD,  133,"Vastar Resources, Inc.",01855,DOCD,10/13/1999,A,12/1/1999,CERA,284,
N,6630,G21245,WR,  678,G21245,WR,  678,Union Oil Company of California,00003,POE,10/13/1999,A,11/29/1999,CERA,6931,
N,6629,G18631,WR,   36,G18631,WR,   36,Union Oil Company of California,00003,POE,10/13/1999,A,12/22/1999,,8154,
N,6630,G21245,WR,  678,G21245,WR,  678,Union Oil Company of California,00003,POE,10/13/1999,A,11/29/1999,CERA,7067,
N,6629,G18631,WR,   36,G18631,WR,   36,Union Oil Company of California,00003,POE,10/13/1999,A,12/22/1999,,8139,
N,6630,G21245,WR,  678,G21245,WR,  678,Union Oil Company of California,00003,POE,10/13/1999,A,11/29/1999,CERA,6941,
N,6625,G15528,MC,  988,G15528,MC,  988,Chevron U.S.A. Inc.,00078,POE,10/12/1999,A,12/28/1999,CERA,4413,
N,6625,G15528,MC,  988,G15528,MC,  988,Chevron U.S.A. Inc.,00078,POE,10/12/1999,A,12/28/1999,CERA,4592,
N,6626,G16987,WR,  425,G16987,WR,  425,BHP Billiton Petroleum (GOM) Inc.,02010,POE,10/12/1999,A,2/10/2000,SEAD,8879,
N,6624,G16337,SM,  261,G16337,SM,  261,Callon Petroleum Operating Company,01513,DOCD,10/12/1999,A,12/13/1999,CERA,36,
N,6625,G15528,MC,  988,G15528,MC,  988,Chevron U.S.A. Inc.,00078,POE,10/12/1999,A,12/28/1999,CERA,4352,
N,6625,G15529,MC,  989,G15529,MC,  989,Chevron U.S.A. Inc.,00078,POE,10/12/1999,A,12/28/1999,CERA,4759,
N,6626,G16987,WR,  425,G16987,WR,  425,BHP Billiton Petroleum (GOM) Inc.,02010,POE,10/12/1999,A,2/10/2000,SEAD,8844,
N,6624,G16337,SM,  261,G16337,SM,  261,Callon Petroleum Operating Company,01513,DOCD,10/12/1999,A,12/13/1999,CERA,33,
N,6624,,,,G16337,SM,  261,Callon Petroleum Operating Company,01513,DOCD,10/12/1999,A,12/13/1999,CERA,36,
N,6626,G16997,WR,  469,G16997,WR,  469,BHP Billiton Petroleum (GOM) Inc.,02010,POE,10/12/1999,A,2/10/2000,SEAD,8902,
N,6627,G15257,EI,  271,G15257,EI,  271,Seneca Resources Corporation,00560,POE,10/12/1999,A,11/18/1999,,180,
N,6628,G20016,MC, 1007,G20016,MC, 1007,Devon Louisiana Corporation,01777,POE,10/12/1999,A,3/14/2000,,7779,
S,5094,G04123,BS,   56,G01372,BS,   55,Walter Oil & Gas Corporation,00730,POE,10/12/1999,A,1/4/2000,,35,
N,6625,G15527,MC,  987,G15527,MC,  987,Chevron U.S.A. Inc.,00078,POE,10/12/1999,A,12/28/1999,CERA,4325,
N,6625,G15527,MC,  987,G15527,MC,  987,Chevron U.S.A. Inc.,00078,POE,10/12/1999,A,12/28/1999,CERA,4357,
N,6625,G15528,MC,  988,G15528,MC,  988,Chevron U.S.A. Inc.,00078,POE,10/12/1999,A,12/28/1999,CERA,4445,
N,6627,G19794,EI,  264,G15257,EI,  271,Seneca Resources Corporation,00560,POE,10/12/1999,A,11/18/1999,,180,
N,6624,,,,G16337,SM,  261,Callon Petroleum Operating Company,01513,DOCD,10/12/1999,A,12/13/1999,CERA,33,
S,5092,G14942,GB,  184,G14942,GB,  184,Anadarko US Offshore LLC,02219,POE,10/8/1999,A,10/27/1999,CERA,692,
N,6623,G13145,MC,  727,G13145,MC,  727,Chevron U.S.A. Inc.,00078,POE,10/7/1999,A,1/10/2000,CERA,4908,
N,6623,G13145,MC,  727,G13145,MC,  727,Chevron U.S.A. Inc.,00078,POE,10/7/1999,A,1/10/2000,CERA,5175,
N,6623,G13145,MC,  727,G13145,MC,  727,Chevron U.S.A. Inc.,00078,POE,10/7/1999,A,1/10/2000,CERA,4915,
S,5091,00419,SS,  150, 00419,SS,  150,"Century Exploration New Orleans, LLC",02714,DOCD,10/7/1999,A,11/9/1999,CERA,54,
N,6623,G13145,MC,  727,G13145,MC,  727,Chevron U.S.A. Inc.,00078,POE,10/7/1999,A,1/10/2000,CERA,4965,
N,6623,G13145,MC,  727,G13145,MC,  727,Chevron U.S.A. Inc.,00078,POE,10/7/1999,A,1/10/2000,CERA,4830,
N,6623,G13145,MC,  727,G13145,MC,  727,Chevron U.S.A. Inc.,00078,POE,10/7/1999,A,1/10/2000,CERA,5235,
N,6621,G19500,KC,  155,G19500,KC,  155,Marathon Oil Company,00724,POE,10/6/1999,A,11/8/1999,CERA,5572,
N,6621,G19517,KC,  199,G19517,KC,  199,Marathon Oil Company,00724,POE,10/6/1999,A,11/8/1999,CERA,5658,
S,5090,G08496,MC,  657,G08496,MC,  657,Shell Deepwater Development Inc.,02139,POE,10/6/1999,A,12/28/1999,CERA,7619,
R,3360,G08580,AC,  600,G08580,AC,  600,Shell Deepwater Development Inc.,02139,POE,10/6/1999,A,11/19/1999,CERA,7896,
S,5090,G08496,MC,  657,G08496,MC,  657,Shell Deepwater Development Inc.,02139,POE,10/6/1999,A,12/28/1999,CERA,7595,
N,6621,G19517,KC,  199,G19517,KC,  199,Marathon Oil Company,00724,POE,10/6/1999,A,11/8/1999,CERA,5613,
R,3359,G18194,MC,  126,G18194,MC,  126,"Vastar Resources, Inc.",01855,POE,10/6/1999,A,10/14/1999,CERA,5301,
S,5090,G08496,MC,  657,G08496,MC,  657,Shell Deepwater Development Inc.,02139,POE,10/6/1999,A,12/28/1999,CERA,7471,
S,5090,G08496,MC,  657,G08496,MC,  657,Shell Deepwater Development Inc.,02139,POE,10/6/1999,A,12/28/1999,CERA,7605,
N,6622,G13833,WC,  201,G13833,WC,  201,"Pioneer Natural Resources USA, Inc.",01935,POE,10/6/1999,A,11/15/1999,CERA,60,
N,6621,G19517,KC,  199,G19517,KC,  199,Marathon Oil Company,00724,POE,10/6/1999,A,11/8/1999,CERA,5637,
N,6621,G19517,KC,  199,G19517,KC,  199,Marathon Oil Company,00724,POE,10/6/1999,A,11/8/1999,CERA,5696,
S,5090,G08496,MC,  657,G08496,MC,  657,Shell Deepwater Development Inc.,02139,POE,10/6/1999,A,12/28/1999,CERA,7613,
N,6618,G21124,GI,   85,G21124,GI,   85,Mariner Gulf of Mexico LLC,02169,POE,10/5/1999,A,11/23/1999,CERA,180,
N,6620,G17430,GB,  798,G17430,GB,  798,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3580,
N,6620,G17443,GB,  843,G17443,GB,  843,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3860,
N,6620,G17430,GB,  798,G17430,GB,  798,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3680,
N,6620,G17442,GB,  842,G17442,GB,  842,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3955,
N,6618,G21124,GI,   85,G21124,GI,   85,Mariner Gulf of Mexico LLC,02169,POE,10/5/1999,A,11/23/1999,CERA,152,
N,6618,G21124,GI,   85,G21124,GI,   85,Mariner Gulf of Mexico LLC,02169,POE,10/5/1999,A,11/23/1999,CERA,144,
N,6620,G17430,GB,  798,G17430,GB,  798,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3606,
N,6620,G17442,GB,  842,G17442,GB,  842,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3725,
N,6620,G17442,GB,  842,G17442,GB,  842,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3717,
N,6620,G17443,GB,  843,G17443,GB,  843,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3675,
N,6619,G15347,ST,  314,G15349,ST,  317,Petrobras America Inc.,01207,POE,10/5/1999,A,12/14/1999,CERA,420,
N,6619,G15349,ST,  317,G15349,ST,  317,Petrobras America Inc.,01207,POE,10/5/1999,A,12/14/1999,CERA,420,
R,3358,G19863,MP,  265,G19863,MP,  265,"Stone Energy, L.L.C.",02018,POE,10/5/1999,A,12/10/1999,CERA,212,
N,6620,G17431,GB,  799,G17431,GB,  799,ConocoPhillips Company,00056,POE,10/5/1999,A,12/27/1999,CERA,3668,
N,6618,G21124,GI,   85,G21124,GI,   85,Mariner Gulf of Mexico LLC,02169,POE,10/5/1999,A,11/23/1999,CERA,174,
S,5089,G14205,EB,  602,G14205,EB,  602,Anadarko US Offshore LLC,02219,POE,10/4/1999,A,10/6/1999,CERA,3680,
R,3357,G14428,VR,  376,G14428,VR,  376,"PetroQuest Energy, L.L.C.",02222,POE,10/4/1999,X,10/21/1999,,303,
R,3356,G14581,MP,  225,G14581,MP,  225,"Dominion Exploration & Production, Inc.",00282,DOCD,10/1/1999,A,3/2/2000,,256,
S,5087,G02890,SM,  265,G02890,SM,  265,"PennzEnergy Exploration and Production, L.L.C.",02332,DOCD,10/1/1999,A,11/30/1999,CERA,25,
R,3356,,,,G14581,MP,  225,"Dominion Exploration & Production, Inc.",00282,DOCD,10/1/1999,A,3/2/2000,,256,
S,5088,00300,WC,   45, 00300,WC,   45,"Stone Energy, L.L.C.",02018,DOCD,10/1/1999,A,11/8/1999,CERA,33,
R,3355,G15607,GC,  743,G15607,GC,  743,BP Exploration Inc.,00593,POE,9/30/1999,A,11/24/1999,CERA,6670,
N,6616,G20852,AC,  627,G20852,AC,  627,Burlington Resources Offshore Inc.,01904,POE,9/30/1999,A,11/5/1999,CERA,5220,
N,6616,G20852,AC,  627,G20852,AC,  627,Burlington Resources Offshore Inc.,01904,POE,9/30/1999,A,11/5/1999,CERA,5230,
N,6617,G21121,PL,   16,G21121,PL,   16,"Dominion Exploration & Production, Inc.",00282,POE,9/30/1999,A,11/2/1999,CERA,55,
N,6617,G21121,PL,   16,G21121,PL,   16,"Dominion Exploration & Production, Inc.",00282,POE,9/30/1999,A,11/2/1999,CERA,58,
N,6616,G20852,AC,  627,G20852,AC,  627,Burlington Resources Offshore Inc.,01904,POE,9/30/1999,A,11/5/1999,CERA,5260,
S,5085,G15359,GI,  106,G15359,GI,  106,BHP Billiton Petroleum (GOM) Inc.,02010,POE,9/30/1999,A,11/12/1999,CERA,338,
N,6617,G21121,PL,   16,G21121,PL,   16,"Dominion Exploration & Production, Inc.",00282,POE,9/30/1999,A,11/2/1999,CERA,60,
N,6616,G20852,AC,  627,G20852,AC,  627,Burlington Resources Offshore Inc.,01904,POE,9/30/1999,A,11/5/1999,CERA,5240,
S,5086,G04085,WC,  170,G04085,WC,  170,CNOOC Petroleum Offshore U.S.A. Inc.,02079,DOCD,9/30/1999,A,11/1/1999,CERA,33,
S,5084,,,,G18040,ST,  139,Anadarko E&P Company LP,00148,DOCD,9/29/1999,A,12/21/1999,CERA,63,
N,6615,G13198,AT,   63,G13198,AT,   63,Texaco Exploration and Production Inc.,00771,POE,9/29/1999,A,11/23/1999,CERA,4392,
N,6614,G20618,BA,A  71,G20618,BA,A  71,Samedan Oil Corporation,00185,POE,9/29/1999,A,10/27/1999,CERA,146,
S,5084,G18040,ST,  139,G18040,ST,  139,Anadarko E&P Company LP,00148,DOCD,9/29/1999,A,12/21/1999,CERA,62,
N,6614,G20618,BA,A  71,G20618,BA,A  71,Samedan Oil Corporation,00185,POE,9/29/1999,A,10/27/1999,CERA,145,
S,5084,G18040,ST,  139,G18040,ST,  139,Anadarko E&P Company LP,00148,DOCD,9/29/1999,A,12/21/1999,CERA,63,
N,6615,G13198,AT,   63,G13198,AT,   63,Texaco Exploration and Production Inc.,00771,POE,9/29/1999,A,11/23/1999,CERA,4390,
S,5084,,,,G18040,ST,  139,Anadarko E&P Company LP,00148,DOCD,9/29/1999,A,12/21/1999,CERA,62,
R,3354,00300,WC,   45, 00300,WC,   45,"Stone Energy, L.L.C.",02018,POE,9/29/1999,V,11/10/1999,,33,
N,6615,G13198,AT,   63,G13198,AT,   63,Texaco Exploration and Production Inc.,00771,POE,9/29/1999,A,11/23/1999,CERA,4453,
N,6615,G13198,AT,   63,G13198,AT,   63,Texaco Exploration and Production Inc.,00771,POE,9/29/1999,A,11/23/1999,CERA,4476,
N,6614,G20618,BA,A  71,G20618,BA,A  71,Samedan Oil Corporation,00185,POE,9/29/1999,A,10/27/1999,CERA,153,
