Segment Number,Originating Id Name,Originating Area Code,Originating Block Number,Originating Lease Number,Receiving Id Name,Receiving Area Code,Receiving Block Number,Receiving Lease Number,Approved Date,Install Date,Status Code,Pipeline Size Code,ROW Number,Production Code,Facility Operator,Operator,Max Water Depth (feet),Max Allowable Operating Pressure,Cathodic Code,Pipeline ROW Seg Status Code,Pipeline ROW Permit,ROW Holder,Segment Length,Authority,Bidirectional,Out of Service Date,Temporary Cessation of Operations Date,Flush and Fill Date,Abandonment Approval Date,Abandonment Date
12664,Platform A,EW, 1003,G13091,16-inch SSTI,EW,  873,G12136,1/31/2001,7/25/2001,ACT,12,G22108,OIL,03026,"EnVen Energy Ventures, LLC",1490,1950,A,ACT,03026,"EnVen Energy Ventures, LLC",54052,DOI,N,,,,,
12665,#192,SP,   28, 00694,Z,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKG,02266,"EPL Oil & Gas, LLC",60,1440,A,,,,2497,DOI,N,,,,,
12666,#162,SP,   28, 00694,Z,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKG,02266,"EPL Oil & Gas, LLC",60,1440,A,,,,5533,DOI,N,,,,,
12667,Platform T,SP,   28, 00694,Caisson #212,SP,   28, 00694,8/31/2000,12/13/2000,OUT,04,,LIFT,03368,"Whitney Oil & Gas, LLC",50,1440,A,,,,2684,DOI,N,8/29/2005,,,,
12668,#168,SP,   28, 00694,Z,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKO,02266,"EPL Oil & Gas, LLC",59,1440,A,,,,1558,DOI,N,,,,,
12669,#188,SP,   28, 00694,Z,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKG,02266,"EPL Oil & Gas, LLC",59,1440,A,,,,1558,DOI,N,,,,,
12670,#178,SP,   28, 00694,Z,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKG,02266,"EPL Oil & Gas, LLC",65,1440,A,,,,3545,DOI,N,,,,,
12671,#278,SP,   28, 00353,V,SP,   28, 00353,8/31/2000,,CNCL,04,,BLKO,02266,"EPL Oil & Gas, LLC",57,1440,A,,,,2222,DOI,N,,,,,
12672,#203,SP,   28, 00694,Z,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKO,02266,"EPL Oil & Gas, LLC",60,1440,A,,,,1964,DOI,N,,,,,
12673,JA#1,WD,   23,G01331,#03,WD,   23,G01331,10/23/2000,,CNCL,04,,BLKG,01687,"Matrix Oil & Gas, Inc.",26,3600,A,,,,1563,DOI,N,,,,,
12674,#72,SP,   28, 00694,VV,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKG,02266,"EPL Oil & Gas, LLC",71,1440,A,,,,3486,DOI,N,,,,,
12675,#72,SP,   28, 00694,#170,SP,   28, 00694,8/31/2000,,CNCL,04,,BLKG,02266,"EPL Oil & Gas, LLC",71,1440,A,,,,2281,DOI,N,,,,,
12676,B,HI,  202,G14870,A,HI,  199,G22239,8/9/2000,10/28/2000,ABN,06,G22110,BLKG,02169,Mariner Gulf of Mexico LLC,63,2160,A,RELQ,02169,Mariner Gulf of Mexico LLC,20963,DOI,N,5/18/2006,,,12/18/2007,4/15/2011
12677,Well No. 211,SP,   28, 00694,Platform AA,SP,   28, 00694,8/31/2000,8/10/2002,ABN,04,,BLKG,03368,"Whitney Oil & Gas, LLC",72,1440,A,,,,1376,DOI,N,12/1/2011,,8/1/2016,12/12/2016,10/24/2016
12678,Platform AA,SP,   28, 00694,Well No. 211,SP,   28, 00694,8/31/2000,,PABN,02,,LIFT,03368,"Whitney Oil & Gas, LLC",27,1440,A,,,,1304,DOI,N,8/26/2005,,,5/20/2016,
12679,SSTI,SM,  218, 00310,A,SM,  217, 00310,,,ABN,03-04,,BLKG,00078,Chevron U.S.A. Inc.,13,1440,A,,,,5471,DOI,Y,,,,,8/14/2002
12680,Well No.74,SM,  218, 00310,A Platform,SM,  217, 00310,,8/15/1982,ABN,03,,BLKG,00078,Chevron U.S.A. Inc.,14,2625,A,,,,9128,DOI,N,1/24/2002,,3/7/2003,2/28/2007,3/18/2007
12681,#94,SM,  218, 00310,A,SM,  217, 00310,9/12/2000,1/11/1977,OUT,03-04,,BLKG,00078,Chevron U.S.A. Inc.,17,600,A,,,,6093,DOI,N,12/15/2016,,,,
12682,A,VR,  248,G15195,"30""SSTI",VR,  248,G15195,9/15/2000,11/29/2000,ABN,08,,G/C,00222,XTO Offshore Inc.,142,1250,A,,,,354,DOI,N,7/11/2004,,,8/26/2004,10/17/2004
12683,A,VR,  356,G17921,12 SSTI,VR,  356,G17921,11/9/2000,1/5/2001,ACT,08,,GAS,03026,"EnVen Energy Ventures, LLC",263,1440,A,,,,648,DOI,Y,,,,,
12684,A,EC,  344,G17878,A,EC,  346,G06655,9/18/2000,1/16/2001,COMB,06,G22111,BLKO,02899,Talos ERT LLC,310,1480,A,RELQ,02899,Talos ERT LLC,0,DOI,N,12/18/2012,,,,
12685,A,EC,  344,G17878,A,EC,  346,G06655,9/18/2000,1/16/2001,ABN,04,G22112,BLKO,01704,Remington Oil and Gas Corporation,310,1480,A,RELQ,02899,Talos ERT LLC,22152,DOI,Y,11/1/2004,,,8/30/2007,8/6/2013
12686,6 SSTI,EI,  105, 00797,F,EI,  105, 00797,1/30/2001,4/12/2001,ABN,06,,LIFT,00105,Apache Corporation,27,1440,A,,,,164,DOI,N,4/9/2013,,8/31/2013,2/12/2014,6/22/2014
12687,E,EC,  192,G08650,A,EC,  189,G08418,,,CNCL,06,,BLKG,00491,"EP Energy Management, L.L.C.",96,1480,A,,,,10422,DOI,N,,,,,
12688,A,WC,  526,G15108,A,WC,  515,G15102,10/17/2000,11/21/2000,ABN,08,,BLKG,00491,"EP Energy Management, L.L.C.",176,1490,A,,,,8961,DOI,N,,,,7/13/2004,8/27/2004
12689,A,EC,  364,G21080,"12""SSTI",VR,  365,G17924,9/25/2000,12/1/2000,ABN,06,G22114,G/C,02945,"PSI Midstream Partners, L.P.",375,1440,A,RELQ,02945,"PSI Midstream Partners, L.P.",54763,DOT,N,9/7/2008,,9/6/2013,8/28/2013,9/7/2013
12690,Cais #1,WC,  367,G21054,Cais #4,WC,  368,G05315,10/13/2000,12/6/2000,ABN,04,,BLKG,02714,"Century Exploration New Orleans, LLC",84,1480,A,,,,13267,DOI,N,5/18/2003,,7/9/2004,9/14/2006,3/13/2008
12691,CI,ST,   23, 00166,CC,ST,   23, 00166,9/15/2000,,CNCL,04,,BLKO,03481,"Cantium, LLC",50,1440,C,,,,5478,DOI,N,,,,,
12692,#18,SS,   32, 00335,C,SS,   33, 00336,10/20/2000,4/3/1972,ABN,02-03,,BLKO,01284,"W & T Offshore, Inc.",0,1440,A,,,,18263,DOT,N,4/30/2001,,5/1/2001,1/2/2013,1/16/2013
12693,A,VR,   39, 00206,"24""SSTI",VR,   22,G02865,8/7/2000,8/19/2000,ACT,10,G22115,G/C,03151,"Cox Operating, L.L.C.",,1266,A,ACT,02266,"EPL Oil & Gas, LLC",11626,DOT,Y,,,,,
12694,Platfomr A,HI,   37,G15769,16-inch SSTI,HI,   48,G18925,9/19/2000,12/21/2000,ABN,08,G22116,G/C,02266,"EPL Oil & Gas, LLC",37,1200,A,RELQ,02266,"EPL Oil & Gas, LLC",17169,DOI,N,9/12/2008,,,4/10/2014,8/4/2014
12695,H,WC,   48,G01351,A,WC,   48,G01351,8/30/2000,9/6/2000,ACT,06,,BLKG,03151,"Cox Operating, L.L.C.",25,1440,A,,,,12153,DOI,N,,,,,
12696,Platform B,GA,  389,G17133,"8"" SSTI",GA,  390,UNLEASE,10/5/2000,11/26/2000,ABN,04,G22117,G/C,02589,"Merit Energy Company, LLC",96,1440,A,RELQ,02589,"Merit Energy Company, LLC",5628,DOI,N,9/3/2009,,,11/18/2010,6/8/2011
12697,#B6,WC,  111, 00082,PE,WC,  110, 00081,11/29/2000,12/20/2000,A/C,04,,BLKG,00114,BP America Production Company,41,2220,A,,,,2645,DOI,N,,,,8/5/2005,8/29/2005
12698,D,EI,  243,G02899,A,EI,  243,G02899,10/23/2000,,CNCL,04,,BLKG,01834,Talos Petroleum LLC,149,2160,A,,,,6112,DOI,N,,,,,
12699,Caisson #5,PL,    5,G12027,Platform C,PL,    5,G12027,10/3/2000,12/17/2000,PABN,04,,BLKG,03247,Talos Energy Offshore LLC,36,2220,A,,,,2057,DOI,N,9/11/2014,,,7/31/2018,
12700,Caisson #5,PL,    5,G12027,Platform C,PL,    5,G12027,10/3/2000,12/12/2000,ABN,04,,BLKG,03247,Talos Energy Offshore LLC,36,2220,A,,,,2058,DOI,N,8/29/2005,,6/1/2015,6/2/2015,8/5/2015
12701,Caisson #5,PL,    5,G12027,C,PL,    5,G12027,10/3/2000,,CNCL,03,,BLKO,01834,Talos Petroleum LLC,36,2220,A,,,,2103,DOI,N,,,,,
12702,Platform C,PL,    5,G12027,Caisson #5,PL,    5,G12027,10/3/2000,12/12/2000,PABN,02,,LIFT,03247,Talos Energy Offshore LLC,36,1440,A,,,,2056,DOI,N,9/11/2014,,,8/2/2018,
12703,#01,BA,  541,G14812,A,BA,  542,G12465,8/29/2000,10/16/2000,ABN,04,,BLKG,02851,"Apache Shelf, Inc.",118,5000,A,,,,8277,DOI,N,9/7/2005,,9/2/2006,9/15/2008,5/28/2010
12704,#166,SP,   28, 00694,Z,SP,   28, 00694,8/30/2000,,CNCL,04,,BLKG,02266,"EPL Oil & Gas, LLC",70,1440,A,,,,3960,DOI,N,,,,,
12705,Platform G,PL,   11, 00071,Platform F,PL,   11, 00071,11/9/2000,11/26/2000,ACT,04,,BLKO,00105,Apache Corporation,38,2220,A,,,,10596,DOI,N,,,,,
12706,G,PL,   11, 00071,F,PL,   11, 00071,11/9/2000,11/26/2000,PABN,04,,BLKO,00105,Apache Corporation,38,2220,A,,,,10592,DOI,N,2/17/2011,,2/12/2012,12/15/2016,
12707,F,PL,   11, 00071,G,PL,   11, 00071,11/9/2000,11/26/2000,ACT,02,,LIFT,00105,Apache Corporation,38,1480,A,,,,10591,DOI,N,,,,,
12708,A,SM,  236, 00310,C,SM,  229, 00310,8/31/2000,,CNCL,03,,LIFT,00078,Chevron U.S.A. Inc.,21,1440,A,,,,9291,DOI,N,,,,,
12709,A,EC,  144,G21070,06 SSTI,EC,  129,G14364,8/31/2000,11/29/2000,ABN,06,G22118,G/C,02970,"Castex Offshore, Inc.",84,1253,A,RELQ,02970,"Castex Offshore, Inc.",9590,DOI,N,5/30/2013,11/26/2013,,4/11/2014,6/21/2014
12710,A,MO,  991,G15403,A,MO,  992,G15404,10/3/2000,1/4/2001,ABN,02,,SPLY,00078,Chevron U.S.A. Inc.,93,1440,A,,,,14258,DOI,N,5/28/2014,,6/1/2014,7/23/2014,8/5/2014
12711,A,MO,  992,G15404,A,MO,  991,G15403,10/3/2000,12/30/2000,ABN,06,,BLGH,00078,Chevron U.S.A. Inc.,93,2160,A,,,,14028,DOI,N,2/28/2014,,,7/23/2014,8/5/2014
12712,capped end,MC,   65,G21742,A,MC,   20,G04935,11/9/2000,1/2/2001,ABN,06,G22119,BLKG,00730,Walter Oil & Gas Corporation,1330,4882,A,RELQ,00730,Walter Oil & Gas Corporation,10959,DOI,N,,,,1/21/2005,1/23/2005
12713,SSW#01,MP,  150,G21705,A,MP,  301,G04486,10/20/2000,12/20/2000,ABN,04,G22120,BLKG,00730,Walter Oil & Gas Corporation,248,4529,A,RELQ,00730,Walter Oil & Gas Corporation,20193,DOI,N,6/30/2012,,,7/10/2012,10/10/2012
12714,Platform B,HI,A 521,G17190,12-inch SSTI,HI,A 521,G17190,8/31/2000,1/15/2001,ABN,06,,G/C,02312,McMoRan Oil & Gas LLC,230,1440,A,,,,1060,DOI,N,11/17/2012,,,11/27/2012,8/9/2013
12715,A,HI,A 521,G17190,SSTI,HI,A 521,G17190,8/31/2000,,CNCL,06,,G/C,01364,Newfield Exploration Company,242,1440,A,,,,1375,DOI,N,,,,,
12716,Well No. 61,SM,  218, 00310,Platform A,SM,  217, 00310,12/8/2000,8/3/2001,OUT,03-06,,BLKG,00078,Chevron U.S.A. Inc.,16,897,C,,,,7973,DOI,N,7/18/2015,,10/14/2016,,
12717,STATE,BA,  309,UNLEASE,A,EB,  160,G02647,8/14/2000,,ACT,01,,CBLC,21197,"Petrocom Communications, Inc",935,1440,,,,,461000,,N,,,,,
12718,A,EB,  160,G02647,A,GB,  236,G02632,8/14/2000,,ABN,01,,CBLC,21197,"Petrocom Communications, Inc",1148,1440,,,,,472000,,N,,,,,10/19/2009
12719,A,GB,  236,G02632,A,SM,  205,G05475,8/14/2000,,ABN,,,CBLC,21197,"Petrocom Communications, Inc",1148,1440,,,,,436000,,N,,,,,10/19/2009
12720,A,SM,  205,G05475,A,SM,   69,G01201,8/14/2000,,ABN,01,,CBLC,21197,"Petrocom Communications, Inc",443,1440,,,,,253000,,N,,,,,
12721,A,SM,  205,G05475,A,GC,   19,G04131,8/14/2000,,ABN,01,,CBLC,21197,"Petrocom Communications, Inc",870,1440,,,,,310000,,N,,,,,
12722,A,GC,   19,G04131,A,ST,  165,G01251,8/14/2000,,ACT,01,,CBLC,21197,"Petrocom Communications, Inc",771,1440,,,,,281000,,N,,,,,
12723,A,ST,  165,G01251,A,MC,  268,G02970,8/14/2000,,ABN,01,,CBLC,21197,"Petrocom Communications, Inc",1082,1440,,,,,267000,,N,12/23/2002,,,,
12724,A,MC,  268,G02970,SHORE,,,UNLEASE,8/14/2000,,ACT,01,,CBLC,21197,"Petrocom Communications, Inc",345,1440,,,,,,,N,,,,,
12725,Platform E,PL,    5,G12027,Platform C,PL,    5,G12027,10/24/2000,3/8/2001,ABN,04,,BLKG,01834,Talos Petroleum LLC,36,2220,A,,,,3849,DOI,N,4/4/2003,,7/21/2009,7/9/2012,8/23/2012
12726,No.24 Caisson,SS,   32, 00335,C Platform,SS,   33, 00336,10/4/2000,10/19/2000,ACT,03-04,,BLKG,01284,"W & T Offshore, Inc.",16,1440,A,,,,11976,DOI,N,,,,,
12727,#24D,SS,   32, 00335,C,SS,   33, 00336,10/4/2000,,CNCL,03,,BLKO,02219,Anadarko US Offshore LLC,16,1440,A,,,,11906,DOI,N,,,,,
12728,Caisson F,WC,   19,G21531,F/S,WC,   19,G21531,11/16/2000,11/29/2000,REM,04,,BLKG,00078,Chevron U.S.A. Inc.,25,2000,A,,,,1652,DOI,N,10/21/2012,,,8/27/2013,9/25/2013
12729,F,WC,   19,G21531,F/S,WC,   19,G21531,11/16/2000,,CNCL,06,,BLKG,00078,Chevron U.S.A. Inc.,25,2739,A,,,,1853,DOI,N,,,,,
12730,F,WC,   19,G21531,F/S,WC,   19,G21531,11/16/2000,,CNCL,06,,BLKG,00078,Chevron U.S.A. Inc.,25,2739,A,,,,1853,DOI,N,,,,,
12731,Platform A,VR,  356,G17921,8-inch SSTI,SM,  137,G02589,2/1/2001,3/4/2001,ACT,06,G22121,OIL,03026,"EnVen Energy Ventures, LLC",263,1440,A,ACT,03026,"EnVen Energy Ventures, LLC",46466,DOI,N,,,,,
12732,A,WC,   48,G01351,CAP,WC,   48,G01351,8/30/2000,,REM,06,,BLKG,00078,Chevron U.S.A. Inc.,29,,,,,,350,DOI,N,,,,,
12733,CC,ST,   23, 00386,CI,ST,   23, 00386,4/3/2001,,CNCL,04,,LIFT,03481,"Cantium, LLC",60,1440,C,,,,5726,DOI,N,,,,,
12734,Platform A,EC,  161,G15141,Platform A,EC,  160, 00541,9/15/2000,1/25/2001,COMB,04,G22122,BLKG,02266,"EPL Oil & Gas, LLC",82,3705,A,RELQ,02266,"EPL Oil & Gas, LLC",0,DOI,N,9/21/2005,,,2/22/2013,
12735,Platform A,EC,  161,G15141,Platform A,EC,  160, 00541,9/15/2000,1/25/2001,COMB,04,G22123,BLKG,02266,"EPL Oil & Gas, LLC",82,3705,A,RELQ,02266,"EPL Oil & Gas, LLC",0,DOI,N,9/21/2005,,9/27/2007,2/22/2013,
12736,No.49D Well,SM,  218, 00310,A Platform,SM,  217, 00310,1/4/2001,7/16/2001,ACT,08,,BLKG,00078,Chevron U.S.A. Inc.,13,680,C,,,,6899,DOI,N,,,,,
12737,#01,SM,  176,G05221,A,SM,  174,G02888,,,CNCL,02,G22124,LIFT,01138,El Paso Production GOM Inc.,314,2220,A,RELQ,01138,El Paso Production GOM Inc.,19579,DOI,N,,,,,
12738,#01,SM,  176,G05221,A,SM,  174,G02888,,,CNCL,04,G22125,BLKG,01138,El Paso Production GOM Inc.,314,4529,A,RELQ,01138,El Paso Production GOM Inc.,19579,DOI,Y,,,,,
12739,#01,SM,  176,G05221,A,SM,  174,G02888,,,CNCL,04,G22126,BLKG,01138,El Paso Production GOM Inc.,314,4529,A,RELQ,01138,El Paso Production GOM Inc.,19579,DOI,Y,,,,,
12740,#01,SM,  176,G05221,A,SM,  174,G02888,,,CNCL,01,G22126,UMB,01138,El Paso Production GOM Inc.,314,,A,RELQ,01138,El Paso Production GOM Inc.,19579,DOI,N,,,,,
12741,#H03,SS,  148,G11983,H,SS,  148,G11983,8/29/2000,9/14/2000,REM,03,,BLKG,01284,"W & T Offshore, Inc.",50,5000,A,,,,25,DOI,N,1/3/2012,,,12/10/2013,3/28/2014
12742,B,GI,   31,G18065,A,GI,   30,G18064,10/17/2000,11/2/2000,ABN,06,,BLKG,01138,El Paso Production GOM Inc.,79,2220,A,,,,15764,DOI,N,,,,6/15/2004,7/19/2004
12743,C,WC,  170,G04085,B,WC,  170,G04085,10/23/2000,11/11/2000,ABN,06,,BLKG,02899,Talos ERT LLC,36,1440,A,,,,3135,DOI,N,8/8/2014,,7/28/2015,9/6/2016,9/28/2016
12744,B,WC,  170,G04085,C,WC,  170,G04085,10/23/2000,11/11/2000,ABN,02,,SPLY,02899,Talos ERT LLC,36,1480,A,,,,3135,DOI,N,7/23/2012,,7/23/2013,9/7/2016,9/28/2016
12745,#03,WC,  297,G15077,A,HI,  120,G17167,10/30/2000,12/11/2000,ABN,04,G22127,BLKG,02492,"Pure Partners, L.P.",48,3705,A,RELQ,02492,"Pure Partners, L.P.",13610,DOI,N,,,,4/9/2004,6/15/2004
12746,#04,HI,  116,G06156,A,HI,  116,G06156,1/15/2001,,ABN,06,,BLKG,00048,Sabine Oil & Gas Corporation,45,2220,A,,,,5598,DOI,N,,,,9/28/2010,12/17/2012
12747,#06,WC,  225,G00900,C,WC,  225,G00900,11/21/2000,1/3/2001,COMB,04,,BLKG,00282,"Dominion Exploration & Production, Inc.",65,2160,A,,,,0,DOI,N,,,,9/29/2006,
12748,I,EI,  267, 00812,"24""SSTI",EI,  267, 00812,10/24/2000,4/15/2001,ABN,06,,G/C,02851,"Apache Shelf, Inc.",180,1250,A,,,,3170,DOI,N,9/8/2008,,,6/11/2009,8/5/2009
12749,PLET,GC,  237,G15563,DWPF Platform,SS,  207,G01523,3/30/2001,7/7/2001,ACT,18-20,G22130,GAS,02227,"Enterprise Field Services, LLC",2000,2160,A,ACT,01796,"Manta Ray Gathering Company, L.L.C.",421254,DOT,N,,,,,
12750,Well No. 37,EI,  119, 00049,06-inch SSTI,EI,  119, 00049,11/6/2000,11/23/2000,ABN,06,,BLKG,00105,Apache Corporation,38,2220,A,,,,10851,DOI,N,5/8/2005,,7/29/2006,8/28/2013,1/15/2014
12751,4-inch SSTI,EI,  119, 00049,Caisson No. 37,EI,  119, 00049,11/6/2000,11/23/2000,ABN,02,,SPLY,00105,Apache Corporation,37,1440,A,,,,10850,DOI,N,5/8/2005,,7/30/2006,8/28/2013,1/15/2014
12752,#05,WD,   49,G18075,E,WD,   58, 00146,10/4/2000,,CNCL,06,,BLKG,01834,Talos Petroleum LLC,49,2220,A,,,,16671,DOI,N,,,,,
12753,P,SS,  209, 00827,K,SS,  209, 00827,11/20/2000,2/16/2001,COMB,08,,BLKG,03041,"Hilcorp Energy GOM, LLC",100,2160,A,,,,0,DOI,N,7/1/2002,,,6/19/2003,3/19/2004
12754,A,MP,    7,G21700,ACAP END,MP,    7,G21700,10/27/2000,12/4/2000,ABN,06,G22132,BLKG,00105,Apache Corporation,45,2160,A,RELQ,00105,Apache Corporation,121,DOI,N,,,,7/2/2001,10/10/2001
12755,Cais #3,HI,  115,G18936,B,HI,  134,G06158,11/20/2000,12/9/2000,ABN,04,G22133,BLKG,02589,"Merit Energy Company, LLC",44,2160,A,RELQ,02589,"Merit Energy Company, LLC",10872,DOI,N,9/10/2005,,,4/16/2007,5/12/2007
12756,Capped End,ST,  107,G15319,Capped End,ST,  138,G22741,11/30/2000,1/14/2001,ABN,04,G22131,BLKG,01364,Newfield Exploration Company,77,5000,A,RELQ,01364,Newfield Exploration Company,17436,DOI,N,8/20/2006,,2/27/2007,5/16/2007,6/10/2007
12757,Sled,VK,  914,G08785,A(Marlin TLP),VK,  915,G06894,1/16/2001,2/15/2001,ABN,06,G28983,BLKG,02058,"LLOG Exploration Offshore, L.L.C.",3524,5780,,RELQ,02058,"LLOG Exploration Offshore, L.L.C.",23059,DOI,N,7/1/2009,10/1/2015,1/27/2012,6/6/2017,11/13/2017
12758,Sled,VK,  914,G08785,A(Marlin TLP),VK,  915,G06894,1/16/2001,,ABN,10,G28983,CSNG,02058,"LLOG Exploration Offshore, L.L.C.",3524,1,A,RELQ,02058,"LLOG Exploration Offshore, L.L.C.",23059,DOI,N,8/28/2008,10/1/2015,1/27/2012,6/6/2017,11/13/2017
12759,A(Marlin TLP),VK,  915,G06894,UTA,VK,  914,G08785,1/16/2001,,ABN,04,G28983,UMB,02058,"LLOG Exploration Offshore, L.L.C.",3524,1,,RELQ,02058,"LLOG Exploration Offshore, L.L.C.",24149,DOI,N,8/28/2008,10/1/2015,1/27/2012,6/6/2017,11/13/2017
12760,A,WC,  526,G15108,A,WC,  515,G15102,11/22/2000,,CNCL,08,,BLKG,00491,"EP Energy Management, L.L.C.",178,1440,A,,,,9117,DOI,N,,,,,
12761,#01,VR,   63,G15167,A,VR,   60,G02870,11/30/2000,1/3/2001,ABN,04,G22134,BLKG,01819,ATP Oil & Gas Corporation,46,5000,A,RELQ,01819,ATP Oil & Gas Corporation,12038,DOI,N,12/31/2002,,3/20/2004,7/27/2004,7/28/2004
12762,A,MC,  397,G04939,Z TEMP,MC,  355,G02964,,,ABN,02,,UMB,00276,Exxon Mobil Corporation,,,,,,,35055,DOI,N,,,,6/4/2012,8/24/2012
12763,A,MC,  397,G04939,Z TEMP,MC,  355,G02964,,,ABN,05,,UMB,00276,Exxon Mobil Corporation,,,,,,,34277,DOI,N,,,,6/4/2012,8/24/2012
12764,Platform A,ST,  204,G16432,Platform B,ST,  204,G16432,10/30/2000,12/12/2000,ABN,06,,BLKG,03026,"EnVen Energy Ventures, LLC",153,2220,A,,,,3331,DOI,N,5/27/2006,,9/9/2010,8/16/2010,11/9/2010
12765,Cais #1,EI,   98,G17965,A,EI,  107,G15241,11/3/2000,11/22/2000,ABN,06,G24288,BLKG,00560,Seneca Resources Corporation,30,2160,A,RELQ,00560,Seneca Resources Corporation,11439,DOI,N,1/11/2003,,,7/16/2004,8/10/2004
12766,A,WC,  523,G19725,08SSTI,WC,  498,G03520,2/12/2001,4/8/2001,ABN,08,G22136,G/C,00491,"EP Energy Management, L.L.C.",178,1440,A,RELQ,00491,"EP Energy Management, L.L.C.",26387,DOI,N,,,,7/15/2004,8/25/2004
12767,SSW#01,GI,  109,G21126,A,ST,  260,G12037,11/9/2000,12/21/2000,ABN,06,G22137,BLKG,00730,Walter Oil & Gas Corporation,300,2556,A,RELQ,00730,Walter Oil & Gas Corporation,37637,DOI,N,10/21/2003,,10/23/2003,8/24/2004,12/12/2004
12768,A,ST,  250,G15336,A,ST,  265,G12980,2/2/2001,4/1/2001,ABN,06,,BLKG,02349,"Magnum Hunter Production, Inc.",199,1480,A,,,,17473,DOI,N,2/7/2007,,2/9/2008,7/14/2008,8/22/2008
12769,SPM-102,GI,   52, 00177,PUMP,GI,   59,UNLEASE,10/4/2000,,ACT,54,,OIL,21207,"LOOP,LLC.",125,,,,,,8270,DOI,N,,,,,
12770,SPM-103,GI,   59,UNLEASE,PUMP,GI,   59,UNLEASE,10/4/2000,,ACT,54,,OIL,21207,"LOOP,LLC.",125,,,,,,8139,DOI,N,,,,,
12771,SPM-104,GI,   59,UNLEASE,PUMP,GI,   59,UNLEASE,10/4/2000,,ACT,54,,OIL,21207,"LOOP,LLC.",125,,,,,,8149,DOI,N,,,,,
12772,PUMP,GI,   59,UNLEASE,FED/STATE,BM,    1,UNLEASE,10/4/2000,,ACT,48,,OIL,21207,"LOOP,LLC.",125,,,,,,92732,DOI,N,,,,,
12773,PUMP,GI,   59,UNLEASE,FED/STATE,BM,    1,UNLEASE,10/4/2000,,ACT,04,,OIL,21207,"LOOP,LLC.",125,,,,,,92411,DOT,N,,,,,
12774,,,,,,,,,,,CNCL,,,TOW,21207,"LOOP,LLC.",,,,,,,,DOI,N,,,,,
12775,#01,SM,  235,G15231,16 SSTI,SM,  235,G15231,11/20/2000,12/21/2000,ABN,06,,G/C,01834,Talos Petroleum LLC,19,1440,A,,,,4153,DOI,N,10/4/2004,,,8/28/2006,10/3/2006
12776,SSW#1,WC,  635,G21569,A,HI,A 371,G14200,2/8/2001,3/27/2001,ABN,03,G22138,BLKG,01819,ATP Oil & Gas Corporation,420,3705,A,RELQ,01819,ATP Oil & Gas Corporation,35278,DOI,N,10/2/2003,,7/31/2005,7/14/2005,8/6/2005
12777,A,EI,  269, 00813,C,EI,  266, 00811,11/2/2000,6/8/2001,ABN,06,,BLKG,00818,"Mariner Energy, Inc.",191,2160,A,,,,13506,DOI,N,11/8/2004,,,6/18/2009,8/11/2009
12778,Platform A,SS,  189,G04232,26-inch SSTI,SS,  185,UNLEASE,11/3/2000,12/10/2000,OUT,08,G22139,G/C,03295,Fieldwood Energy LLC,84,1200,A,ACT,03295,Fieldwood Energy LLC,29269,DOI,N,6/14/2019,12/31/2019,,,
12779,#16,WC,  111, 00082,PE,WC,  110, 00081,1/18/2001,1/9/2002,ABN,04,,BLKG,03295,Fieldwood Energy LLC,43,2220,A,,,,6014,DOI,N,11/8/2014,,5/19/2019,3/18/2019,5/19/2019
12780,PLET,GC,  237,G15563,A (Boxer),GC,   19,G04131,3/15/2001,7/5/2001,ACT,12,G22140,OIL,02899,Talos ERT LLC,2100,2160,A,ACT,02899,Talos ERT LLC,86454,DOI,N,,2/29/2012,,,
12781,I,EI,  119, 00049,CF,EI,  120, 00050,11/30/2000,12/18/2000,ABN,06,,G/C,00105,Apache Corporation,40,2220,A,,,,4390,DOI,N,5/8/2005,,7/30/2006,8/28/2013,7/17/2014
12782,A,HI,  132,G18937,A,HI,  133,G18938,12/5/2000,,CNCL,08,,BLKG,00003,Union Oil Company of California,44,2160,A,,,,11612,DOI,N,,,,,
12783,E,EC,  160,G15140,A,EC,  160, 00541,12/5/2000,,CNCL,04,,BLKG,02108,"Transworld Exploration and Production, Inc.",83,3705,A,,,,3531,DOI,N,,,,,
12784,#15,WC,  118, 00757,#10,WC,  118, 00757,,,CNCL,04,,BLKG,01364,Newfield Exploration Company,35,3705,A,,,,5026,DOI,N,,,,,
12785,Caisson No.3,SS,   76,G15276,Platform A,SS,   58,G07746,2/12/2001,7/11/2001,ACT,04,G22141,BLKO,02970,"Castex Offshore, Inc.",,2500,A,ACT,02970,"Castex Offshore, Inc.",22716,DOI,N,,9/30/2019,,,
12786,Platform A,SS,   58,G07746,Well No. 03,SS,   76,G15276,2/12/2001,7/11/2001,ACT,03,G22142,LIFT,02970,"Castex Offshore, Inc.",,2700,A,ACT,02970,"Castex Offshore, Inc.",22725,DOI,N,,9/30/2019,,,
12787,D,WC,  498,G03520,B,WC,  498,G03520,3/26/2001,,CNCL,06,,BLKG,00491,"EP Energy Management, L.L.C.",164,1440,A,,,,6797,DOI,N,,,,,
