ROW Number,MMS Company Number,Company Name,ROW Effective Date,Termination Date,ROW Status Code,WCD Volume,ROW Description
G21501,03065,Talos Resources LLC,3/17/2000,6/15/2012,RELQ,,"A 2 3/8-inch pipeline to transport fuel gas from Platform ""A"" in Block 64 (Lease OCS 89), across Block 47, to Platform ""B"" in Block46 (Lease OCS-G 3288), all being located in the East Cameron Area."
G21502,02981,ANKOR E&P Holdings Corporation,4/3/2000,,ACT,,"Pipeline Right-of-way (ROW) OCS-G 21502 is a 200-foot wide and approximately 3.20 miles (16,894‘) long corridor associated with the 4 1/2-inch Pipeline Segment Number (PSN) 12462.  The purpose of pipeline ROW OCS-G 21502 is to maintain and operate PSN 12462 and to transport oil from Platform A in Block 27, through Block 30 to a 10-inch subsea tie-in with PSN 19534 in Block 31, all located in South Marsh Island Area."
G21503,03203,"Kinetica Partners, LLC",4/27/2000,,ACT,,"A pipeline right-of-way two-hundred feet (200') in width and 2.75 miles in length for the operation and maintenance of a 12-inch pipeline, to transport gas from Platform A, located in South Timbalier Block 53, to a subsea tie-in to a 16-inch pipeline located in South Timbalier Block 50."
G21504,01138,El Paso Production GOM Inc.,3/27/2000,3/6/2000,RELQ,,"A 4 1/2-inch pipeline to transport bulk gas from Well #2, located in East Cameron Block 84 (Lease OCS-G14356), to ""A"" Platform, located in East Cameron Block 81 (Lease OCS-G01477)."
G21505,01138,El Paso Production GOM Inc.,8/1/2000,8/1/2000,CNCL,,"A 6 5/8-inch pipeline to transport bulk gas from Sonat GOM's proposed Platform ""A"" in West Delta Block 137, Lease OCS-G 14566, across West Delta Block 136 and Grand Isle Blocks 80 and 81, to Sonat GOM's existing Platform ""A"" in Grand Isle Block 78, Lease OCS-G 12989.  (note: application was submitted under Sonat Exploration GOM Inc.'s name)."
G21506,00491,"EP Energy Management, L.L.C.",2/19/2001,,CNCL,,"A 6 5/8-inch pipeline to transport oil from Coastal Oil & Gas Corporation's Platform A to a subsea tie-in with Amoco Pipeline Company's  18-inch pipeline (Right-of-way OCS-G 16048, Segment No. 11015),  in Main Pass Block 265, Lease OCS-G 19863."
G21507,00491,"EP Energy Management, L.L.C.",4/3/2000,,CNCL,,"A 6 5/8-inch pipeline to transport bulk gas from Well No. 2, located in Vermilion Block 47 (Lease OCS-G15163), through Vermilion Block 34, terminating at ""B"" Platform, located in Vermilion Block 35 (Lease OCS-548)."
G21508,00014,"Tennessee Gas Pipeline Company, L.L.C.",4/24/2000,4/24/2000,RELQ,1200,"An existing abandoned 8 5/8-inch pipeline from ""A"" Platform, located in East Cameron Block 121, to a 30-inch subsea tie-in, located in West Cameron Block 250. 06/25/2019"
G21509,01284,"W & T Offshore, Inc.",6/30/2000,3/17/2010,RELQ,,"A 6 5/8-inch pipeline to transport bulk gas from Well No. 1 located in Garden Banks Block 184 (Lease OCS-G 14942), across Garden Banks Blocks 140 and 96 and High Island Blocks 390, 391 and 372, to Platform ""A"" located in High Island Block 371 (Lease OCS-G 14200), and an associated umbilical."
G21510,03203,"Kinetica Partners, LLC",6/15/2000,,ACT,,"A pipeline right-of-way two-hundred feet (200') in width to operate and maintain a 16-inch pipeline, 11.19 miles in length, to transport gas from Platform A in Block 346, through Blocks 347, 344, 343, 342, 326 to Platform A in Block 327, all in Eugene Island Area."
G21511,02036,"Poseidon Oil Pipeline Company, L.L.C.",5/25/2000,,ACT,,"an 8 5/8-inch pipeline to transport oil from Anadarko Petroleum Corporation's Platform A in Block 346, Lease OCS-G 14482, through blocks 347 and  366,  to a subsea tie-in with Poseidon Oil Pipeline Company LLC's 20-inch pipeline (Right-of-way OCS-G 15024, segment number 10597),in Block 369 (unlease),  all in the Eugene Island Area."
G21512,03471,Empire Deepwater LLC,5/18/2000,,ACT,,"A 200-foot wide Right-of-way to operate and maintain an 8 5/8-inch pipeline, 1.01 miles in length, to transport oil from 
Platform A in Block 116, to a 12 3/4-inch subsea tie-in with Segment No. 11433 in Block 110, all in Grand Isle Area."
G21513,00209,"Chandeleur Pipe Line, LLC",4/27/2000,10/27/2015,RELQ,,"Pipeline Right-of-way (ROW) OCS-G21513 is a 200-foot wide and approximately 5.67 miles (29,914ft) long corridor associated with the 8-inch Pipeline Segment Number (PSN) 12513. The purpose of pipeline ROW OCS-G21513 is to maintain and operate PSN 12513 and to transport gas from Platform A in Block 990 through Blocks 989, and 945, to a  subsea tie-in with PSN 3476 in Block 944, at X=1,107,433.61 and Y=10,898,515.04, all located in Mobile Area."
G21514,02636,Fieldwood Energy SP LLC,5/11/2000,12/1/2006,EXP,,"a 6 5/8-inch pipeline to transport bulk gas from ""A"" Platform, located in Vermilion Block 306 (Lease OCS-G21095), to ""A"" Platform, located in Vermilion Block 297 (Lease OCS-G11885)."
G21515,03218,"Crimson Gulf, LLC",6/15/2000,,ACT,,"A pipeline right-of-way 200 feet in width and 10.74 miles in length, for the installation, operation, and maintenance of an 8 5/8-inch pipeline, to transport condensate from Platform A in Block 215, across Blocks 228, 235, and 248, to a subsea tie-in on an existing 8-inch oil pipeline in Block 247, all located in the Vermilion Area."
G21516,03026,"EnVen Energy Ventures, LLC",8/22/2000,12/16/2015,EXP,,"An 8 5/8-inch pipeline to transport gas and condensate from ""A"" Platform, located in Main Pass Block 277 (Lease OCS-G14586), through Main Pass Block 278, and terminating at ""A"" Platform, located in Main Pass Block 265 (Lease OCS-G19863)."
G21517,03026,"EnVen Energy Ventures, LLC",8/22/2000,12/16/2015,EXP,,"A 6 5/8-inch pipeline to transport oil and gas from ""A"" Platform, located in Main Pass Block 277 (Lease OCS-G14586), through Main Pass Block 278, and terminating at ""A"" Platform, located in Main Pass Block 265 (Lease OCS-G19863)."
G21518,00059,Hess Corporation,7/31/2000,,ACT,,"Pipeline Right-of-way OCS-G 21518 is a 200-foot wide and 4.71 mile(24,843 feet) long corridor associated with Pipeline Segment Number 12533.  The purpose of ROW OCS-G 12737 is to transport bulk oil through the associated 8-inch pipeline from a subsea manifold in Block 215, through Block 171 to Platform B (Salsa) in Block 172, and associated umbilicals Segment Number 19454, a 3-inch electrical umbilical 4.73 miles (24,971 feet)in length, from Platform B (Salsa), in Block 172, across Block 171 to a UTA in Block 215, and Segment number 19463, a 1-inch electrical umbilical 1.19 miles in length (6,300 feet)from ETH 1A to ETH 1B all in Block 215, all located in the Garden Banks Area (Conger Project)."
G21519,00059,Hess Corporation,7/31/2000,,ACT,,"A pipeline right-of-way 200-feet in width for the operation and maintenance of an 8 5/8-inch rigid jumper, 4.68 miles in length,to transport bulk oil between a subsea manifold and a pipeline termination sled to Platform B (Salsa), with associated 5 1/2-inch electro-hydraulic umbilical.  The 8 5/8-inch (East) pipeline originates at the subsea manifold in Block 215, crosses Block 171, and terminates at Platform B (Salsa) in Block 172, all located in the Garden Banks Area (Conger Project)."
G21520,01284,"W & T Offshore, Inc.",6/7/2000,11/2/2011,EXP,,"An existing 6 5/8-inch pipeline to transport oil and water from the federal/state boundary, located in Main Pass Block 69 (Lease OCS-00372), through Main Pass Blocks 64, 57, and 58, and terminating at ""A"" Platform, located in Main Pass Block 41  (Lease OCS-00374)."
G21521,02970,"Castex Offshore, Inc.",5/25/2000,10/2/2015,RELQ,,"A 4 1/2-inch pipeline to transport bulk gas from Platform ""A"" (Lease OCS-G15189) to ""B"" Platform (Lease OCS-G01143), both of which are located in Vermilion Block 225."
G21522,02579,Tana Exploration Company LLC,4/27/2000,8/19/2016,RELQ,,"a 6 5/8-inch pipeline to transport bulk gas from Well No. 1 in Block 242 (Lease OCS-G 18114), across Block 266, to Platform ""A"" in Block 265 (Lease OCS-G 19863), all being located in the Main Pass Area."
G21523,03295,Fieldwood Energy LLC,6/1/2000,,ACT,999,"A 200-foot wide right-of-way to operate and maintain a 6 5/8-inch pipeline, 4.39 miles in length, to transport gas and condensate from Platform A in Block 326, through Blocks 326 and 320, to a 22-inch subsea tie-in in Block 321, all located in Vermilion Area."
G21524,02312,McMoRan Oil & Gas LLC,6/15/2000,1/21/2011,RELQ,,"a 6 5/8-inch pipeline to transport bulk gas from Newfield Exploration Company's Platform A in Block 352, Lease OCS-G 3410, to Chevron U.S.A. Inc.'s Platform D in Block 353, Lease OCS-G 3783, all in the Eugene Island Area."
G21525,00105,Apache Corporation,6/13/2000,5/9/2005,RELQ,,
G21526,01138,El Paso Production GOM Inc.,6/22/2000,5/4/2009,RELQ,,"a 6 5/8-inch  pipeline to transport bulk gas from El Paso Production GOM Inc.'s Platform A in Block 137, Lease OCS-G 14566, through Block 136 in the West Delta Area, through Blocks 80 and 81 to El Paso Production GOM Inc.'s Platform A in Block 78, Lease OCS-G 12989, all in the Grand Isle Area."
G21527,03203,"Kinetica Partners, LLC",7/7/2000,,ACT,,"A pipeline right-of-way two-hundred feet (200') in width for the operation and maintenance of a 20-inch pipeline, 17.79 miles in length to transport gas and condensate from High Island  Offshore System's ""HIOS"" Platform in Block 167,   through Blocks 168, 169, 170, 171, 172, 173, to a subsea tie-in with a 20-inch pipeline (SN 1320) in Block 180, all in  West Cameron Area."
G21528,02312,McMoRan Oil & Gas LLC,7/10/2000,11/4/2008,RELQ,,"a 6"" gas condensate pipeline from Newfield Exploration Co. Platform 'A' in Vermilion Block (VR) 407, (LEASE OCS-G16317), through  VR 392, to a  20"" sub-sea-tie-in in VR 408, (LEASE OCS-G15212)."
G21529,01764,"Energy Resource Technology, Inc.",6/20/2000,10/10/2003,RELQ,,"a 6-5/8 inch pipeline to transport bulk gas from South Timbalier Block 213 Caisson A, Lease OCS-G 18055, through South Timbalier Block 214, Lease OSC-G 16436, to UPRC's South Timbalier Block 198 Platform A, Lease OCS-G 07769."
G21874,02917,"Rooster Oil & Gas, LLC",6/22/2000,2/7/2018,RELQ,,"a 6 5/8-inch pipeline to transport oil from PetroQuest Energy One L.L.C.'s Platform A  in Block 376, Lease OCS-G 14428, through Block 275, to a subsea tie-in with Equilon Pipeline Company's 6-inch pipeline (Right-of-way OCS-G 5124, Segment No. 12282) in Block 374, (unlease) , all in the Vermilion Area."
G21875,01777,Devon Louisiana Corporation,,,CNCL,,"An existing 6 5/8-inch bulk gas pipeline (Segment No. 7656) from Platform ""B"" in Block 828, Lease OCS-G 6004, to Platform ""A"" in Block 831, Lease OCS-G 3043, all being located in the Mustang Island Area.  (CANCELLED)"
G21876,00014,"Tennessee Gas Pipeline Company, L.L.C.",7/3/2000,2/17/2012,RELQ,,"A 200 foot wide right of way to install, operate, and maintain a 14-inch pipeline, 6.99 miles in length, to transport bulk gas from ""A"" Platform, located in Ship Shoal Block 295 (Lease OCS-G 21116), through Eugene Island Blocks 322 and 301, and terminating at a subsea tie-in to a 30-inch pipeline located in Eugene Island Block 302 (Lease OCS-G 21642)."
G21877,02385,Williams Field Services - Gulf Coast Company LLC,7/12/2000,6/18/2008,RELQ,,a 12 3/4-inch pipeline to transport gas & condensate from Platform A at High Island Block A-5  to a 16-inch subsea tie-in at High Island Block A-6.
G21878,01284,"W & T Offshore, Inc.",6/29/2000,2/25/2009,RELQ,,"a 4-1/2 inch pipeline to transport bulk gas from Vermilion Block 114, Caisson No. 1, Lease OCS-G 17895, to Burlington Resources' Vermilion Block 115, Platform A, Lease OCS-G 17896."
G21879,02219,Anadarko US Offshore LLC,10/5/2000,4/2/2008,RELQ,,"an 8 5/8-inch pipeline to transport gas and condensate from Platform A, West Cameron 613, Lease OCS-G21059,  to a 24-inch subsea tie-in, High Island A-349, Lease OCS-G02743."
G21880,02385,Williams Field Services - Gulf Coast Company LLC,7/17/2000,,ACT,,"Pipeline Right-of-way (ROW) OCS-G21880 is a 200-foot wide and approximately 13.74 miles (72,525 feet) long corridor associated with the 24-inch Pipeline Segment No. (PSN) 12579. The purpose of the pipeline ROW OCS-G21880 is to maintain and operate PSN 12579 and to transport gas/condensate originating at Platform A in Block 199, through Blocks 173, 159, 137, 136, 137, and 111, terminating at a 16-inch SSTI in Block 110, all located in the High Island Area."
G21881,02169,Mariner Gulf of Mexico LLC,7/12/2000,1/18/2011,RELQ,,"An 8 5/8-inch pipeline to transport bulk gas from Well No. 2, located in High Island Block A-7 (Lease OCS-G15781), through Block 202, and terminating at ""A"" Platform, located in High Island Block 199 (Lease OCS-G3747)."
G21882,02970,"Castex Offshore, Inc.",7/17/2000,,ACT,,"a 6-5/8 inch pipeline to transport bulk oil from South Marsh Island Block 122, Platform A, Lease OCS-G 17942, through South Marsh Island Block 131,  Lease OCS-G 2281, to Shell's South Marsh Island Block 130 Platform A, Lease OCS-G 2280."
G21883,02970,"Castex Offshore, Inc.",7/17/2000,,ACT,,"a 3-1/2 inch gas lift pipeline from Shell's South Marsh Island Block 130, Platform A, Lease OCS-G 2280, through South Marsh Island Block 131, Lease OCS-G 2281, to South Marsh Island Block 122, Platform A, Lease OCS-G 17942."
G21884,03026,"EnVen Energy Ventures, LLC",6/30/2000,5/14/2010,RELQ,,"a 4 1/2-inch pipeline to transport bulk gas from Well No. 1 in Ship Shoal Block 278, Lease OCS-G15297,  to ""B"" Platform in Ship Shoal Block 266,  Lease OCS-G01034."
G21885,00276,Exxon Mobil Corporation,8/16/2000,,ACT,,"a 6 5/8-inch bi-directional pipeline inside a 10 3/4-inch pipeline to transport bulk oil from a subsea manifold in Block 949, Lease OCS-G 10323, through Block 993 in the East Breaks Area, to Platform A, and associated umbilical,  in Alaminos Canyon Block 25, Lease OCS-G 10380."
G21886,00276,Exxon Mobil Corporation,8/16/2000,,ACT,,"Pipeline Right-of-way (ROW) OCS-G21886 is a 200-foot wide and approximately 5.66 miles (29,887¿) long corridor associated with the 6-inch Pipeline Segment No. (PSN) 12586, 10-inch casing PSN 12587, and 10-inch service line PSN 18573. The purpose of the pipeline ROW OCS-G21886 is to maintain, and operate PSN 12586 and to transport oil originating at a subsea manifold in Alaminos Area Block 24 through Alaminos Area Block 25, through East Breaks Block 993 and terminating at Platform A in Alaminos Canyon Block 25."
G21887,00276,Exxon Mobil Corporation,12/7/2000,,ACT,,"a 3.52-inch pipeline inside a 7 1/2-inch umbilical (12593) and  7.5 inch jumper to transport gas lift gas from Platform A  Block 25, Lease OCS-G 10380, in the Alaminos Canyon Area, through Block 993, to a subsea manifold in Block 949, Lease OCS-G 10323, in the East Breaks Area.  (Also approved umbilical, seg 12593 between Marshall & Madison prospects)"
G21888,00276,Exxon Mobil Corporation,12/7/2000,,ACT,,"a 6 5/8-inch pipeline to transport gas lift gas from a subsea manifold in Block 24, Lease OCS-G 10379 in the Alaminos Canyon Area, through Blocks 992, and 948, to a subsea manifold in Block 949, Lease OCS-G 10323, all in the East Breaks Area."
G21889,03065,Talos Resources LLC,8/31/2000,5/14/2014,RELQ,,"A 4 1/2-inch pipeline to transport bulk oil from Bois d'Arc's existing Caisson No. 15 to Platform ""E"", all being located in Eugene Island Block 38, Lease OCS-G 02894."
G21890,03065,Talos Resources LLC,8/31/2000,5/14/2014,RELQ,,"A 6 5/8-inch pipeline to transport bulk oil from Bois d'Arc's existing Caisson No. 15 to Platform ""E"", all being located in Eugene Island Block 38, Lease OCS-G 02894."
G21891,02193,"Destin Pipeline Company, L.L.C.",8/17/2000,,ACT,,"A 16-inch pipeline to transport gas from ""Pompano"" Platform, located in Viosca Knoll Block 989 (Lease OCS-G06898), through Viosca Knoll Blocks 945 and 901, and terminating at a subsea tie-in to a 24-inch pipeline located in Viosca Knoll Block 900 (Lease OCS-G02445)"
G21892,02894,"Bandon Oil and Gas, LP",8/14/2000,7/25/2010,EXP,,"an 8-5/8 inch gas pipeline from West Cameron Block 499 Platform A, Lease OCS-G 15099, to an existing subsea tie-in with TGPL's 30 inch pipeline in West Cameron Block 498, Lease OCS-G 03520."
G21893,03165,Apache Deepwater LLC,8/8/2000,4/13/2018,RELQ,630,"A 200-foot wide right-of-way for the installation, operation, and maintenance of a 4 1/2-6.763-inch pipeline, 15,731 feet in length, to transport bulk oil from Subsea Well No. 1, located in Ewing Bank Block 966, through Ewing Bank Block 965, and terminating at the ""A"" Platform, located in Ewing Bank Block 921."
G21894,03165,Apache Deepwater LLC,8/8/2000,4/13/2018,RELQ,,"A 200-foot right-of-way to operate and maintain a 10.18-inch pipeline, 3.07 miles in length, with associated
umbilical, to transport bulk oil from Subsea Well No.1 in Block 966, through Block 965 and terminating at Platform A in block 921, all located in Ewing Bank Area."
G21895,02409,"Maritech Resources, Inc.",1/25/2001,1/15/2010,RELQ,,"A 6"" gas pipeline from Platform A, High Island (HI) 208, Lease OCS-G 7286, to Platform A, HI 207, Lease OCS-G 8151."
G21896,01364,Newfield Exploration Company,7/28/2000,6/22/2004,RELQ,,"A 4 1/2-inch pipeline to transport bulk gas from Newfield's Caisson No. 8 to Energy Resource Technology Inc.'s existing Platform ""A"", all being located in East Cameron Block 38, Lease OCS-G 02562."
G21897,00059,Hess Corporation,8/8/2000,,ACT,,Remove jumper from original site of Garden Banks 200 (OCS-G 15852) Subsea Well #1 and replace with longer jumper to the new Garden Banks 201 (OCS-G 17307 Subsea Well #1 which has a surface location in Garden Banks 200.
G21898,00059,Hess Corporation,8/9/2000,,ACT,,"a 6 5/8-inch  pipeline to transport bulk gas from subsea well number 3 in Block 200, Lease OCS-G 15852, through Blocks 156, 155, 111, 110, 66, and 22, all in the Garden Banks Area, to Kerr-McGee's Platform A in East Cameron Block 373, Lease OCS-G 14391."
G21899,03035,Fieldwood Energy Offshore LLC,8/2/2000,5/23/2014,RELQ,,"A two-hundred foot wide right-of-way to operate and maintain a 4 1/2-inch pipeline, 1.20 miles in length, to transport bulk gas pipeline from Platform A in Block 300, through Block 293, to Platform A in Block 294, all located in West Cameron Area."
G21900,00491,"EP Energy Management, L.L.C.",12/19/2000,2/20/2003,RELQ,,"a 6-5/8 inch condensate pipeline from West Cameron Block 515 Platform A, Lease OCS-G 15102, through West Cameron Block 516, Lease OCS-G 15103,  to a sub-sea tie in with Segment Number 11461 in West Cameron Block 501 (unleased) at X=1,355,730 and Y=-64561."
G22101,02263,El Paso Offshore Gathering & Transmission Company,7/10/2000,10/5/2009,RELQ,,"a 6-5/8 inch bulk gas pipeline 2.72 miles in length to transport bulk gas from Mustang Island Block 806 Well No. 4, Lease OCS-G 10152, through Mustang Island Block 805, Lease OCS-G 12417, to Mustang Island Block 787 Platform A, Lease OCS-G 11221."
G22102,01819,ATP Oil & Gas Corporation,8/9/2000,7/31/2006,EXP,,"A 4 1/2-inch pipeline (SN 12642) to transport bulk gas from subsea well No. 1, located in Vermilion Block 260 (Lease OCS-G15197), to ""A"" Platform, located in Vermilion Block 261 (Lease OCS-G3328), and an associated umbilical (SN 12647) that is strapped to the pipeline.."
G22103,02589,"Merit Energy Company, LLC",10/17/2000,4/2/2010,RELQ,,"An 8 5/8-inch pipeline to transport natural gas and condensate from Platform ""B"" in Block 704, Lease OCS-G 10203, to an existing subsea tie-in point on Transcontinental Gas Pipeline Corporation's 20-inch pipeline (Right-of-Way OCS-G 06558, Segment No. 7062) in Block 682, Lease OCS-G 5171, all being located in the Matagorda Island Area."
G22104,00400,Chevron Pipe Line Company,8/17/2000,8/15/2011,RELQ,,"a 6 5/8-inch pipeline to transport oil from from Forcenergy Inc.'s Platform B in Block  72, Lease OCS-G 1244, through Block 71 in the SouthTimbalier Area, through Blocks 24 and 17, to a subsea tie-in with Chevron Pipeline Company's 10-inch pipeline(Right-of-way OCS-G 3717, Segment No. 5013) in Block 16, Lease OCS-G 21121, all in the South Pelto Area."
G22105,02917,"Rooster Oil & Gas, LLC",8/8/2000,2/7/2018,RELQ,,"A 6 5/8-inch pipeline to transport gas from ""A"" Platform, located in Vermilion Block 376 (Lease OCS-G14428), to a subsea tie-in to a 24-inch pipeline located in Vermilion Block 379 (Lease OCS-G13606)."
G22106,03247,Talos Energy Offshore LLC,8/31/2000,7/2/2015,EXP,,"Pipeline Right-of-way (ROW) OCS-G22106 is a 200-foot wide and approximately 7.68 miles (40,538 feet) long corridor associated with the 8-inch Pipeline Segment No. (PSN) 12661 and the Pipeline ROW accessory structure, Platform A (Complex ID No. 22496-1) located in South Timbalier Area Block 50. The purpose of pipeline ROW OCS- G22106 is to maintain and operate PSN 12661 and to transport gas from Platform C in Block 5 in South Pelto Area, through Block 33, 34, and 35 to Platform A in Block 50, all in South Timbalier Area."
G22107,03026,"EnVen Energy Ventures, LLC",1/31/2001,,ACT,,"a 12 3/4-inch gas pipeline from proposed platform 'A' (TLP) in Ewing Bank Block 1003, Lease OCS-G13091, through Ewing Bank Blocks 959, 958, 914, 870, 869, 825, & South Timbalier Block 307, to platform 'A' in South Timbalier Block 292, presently unleased."
G22108,03026,"EnVen Energy Ventures, LLC",1/31/2001,,ACT,,"a 12 3/4-inch oil pipeline from a proposed platform 'A' in Ewing Bank 1003, Lease OCS-G 13091, through Ewing Bank 959, 915, 916, & 872, to an existing subsea tie-in of the 16-inch Poisedon oil pipeline (SN 11269, OCS-G 14264) in Ewing Bank 873, Lease OCS-G 12139."
G22109,02409,"Maritech Resources, Inc.",7/25/2000,5/13/2011,RELQ,,"An existing 4 1/2-inch bulk gas pipeline (Segment No. 9719) from Seagull Energy E&P Inc.'s Platform ""A"" in Block 431, Lease OCS-G 9017, through Block 416, to Seagull Energy E&P Inc.'s proposed Right-of-Way Appurtenant Structure (Platform ""A"") in Block 397, expired Lease OCS-G 9012, all in the Brazos Area."
G22110,02169,Mariner Gulf of Mexico LLC,8/9/2000,10/19/2007,RELQ,,"A 6 5/8-inch pipeline to transport bulk gas from ""B"" Platform, located in High Island Block 202 (Lease OCS-G14870) and terminating at ""A"" Platform, located in High Island Block 199 (Unleased)."
G22111,02899,Talos ERT LLC,9/18/2000,3/18/2012,EXP,,"a 6 5/8-inch bulk oil pipeline from East Cameron Block 344 Platform A, Lease OCS-G 17878, through East Cameron Block 345, Lease OCS-G 15156, to Dominion Exploration & Production, Inc.'s Platform A, East Cameron Block 346, Lease OCS-G 6655."
G22112,02899,Talos ERT LLC,9/18/2000,4/13/2007,RELQ,,"a 4-1/2 inch bulk oil pipeline from East Cameron Block 344 Platform A, Lease OCS-G 17878, through East Cameron Block 345, Lease OCS-G 15156, to Dominion Exploration & Production, Inc.'s East Cameron Block 346 Platform A, Lease OCS-G 6655."
G22113,00105,Apache Corporation,,,CNCL,,"an 8-5/8 inch bulk gas pipeline from Matagorda Island Block 683 Caisson No. 1, Lease OCS-G 13290, through Matagorda Island Block 682, Lease OCS-G 05171, to Matagorda Island Block 681 Platform JA, Lease OCS-G 04703. * * *  CANCELLED * * *"
G22114,02945,"PSI Midstream Partners, L.P.",9/25/2000,8/9/2013,RELQ,,"A 6 5/8-inch pipeline to transport natural gas and condensate from Remington's proposed Platform ""A"" in East Cameron Block 364, Lease OCS-G 21080, across East Cameron Blocks 359, 360, 361, 344, and Vermilion Blocks 367 and 366, to an existing subsea tie-in valve assembly on Texas Eastern's 12-inch pipeline in Vermilion Block 365, Lease OCS-G 17924."
G22115,02266,"EPL Oil & Gas, LLC",8/7/2000,,ACT,,"Pipeline Right-of-way (ROW) OCS-G22115 is a 200-foot wide and approximately 2.20 miles (11,626 feet) long corridor associated with the 10-inch Pipeline Segment No. (PSN) 12693. The purpose of the pipeline ROW OCS-G22115 is to maintain and operate PSN 12693 and to transport gas and condensate service after first processing originating at Platform A in Block 39, terminating at a 24-inch SSTI in Block 22, and to provide fuel gas from the 24-inch SSTI to Platform A, all located in the Vermilion Area."
G22116,02266,"EPL Oil & Gas, LLC",9/19/2000,12/11/2008,EXP,,"Pipeline Right-of-way (ROW) OCS-G22116 is a 200-foot wide and approximately 3.25 miles (17,169 feet) long corridor associated with the 8-inch Pipeline Segment No. (PSN) 12694. The purpose of the pipeline ROW OCS-G22116 is to maintain and operate PSN 12694 and to transport gas and condensate service after first processing originating at Platform A in Block 37, through Block 36, terminating at a 16-inch SSTI in Block 48, all located in the High Island Area."
G22117,02589,"Merit Energy Company, LLC",10/5/2000,11/4/2010,RELQ,,"A 4 1/2 -inch Gas and Condensate pipeline from Platform B, Galveston Area (GA) 389, Lease OCS-G17133, to a proposed 8"" Hot Tap (SN 8437), GA 390, unleased."
G22118,02970,"Castex Offshore, Inc.",8/31/2000,2/28/2014,RELQ,,"A 6 5/8-inch pipeline to transport gas and condensate from ""A"" Platform located in East Cameron Block 144 (Lease OCS-G21070) to a subsea tie-in to a 6-inch pipeline located in East Cameron Block 129 (Lease OCS-G14363)."
G22119,00730,Walter Oil & Gas Corporation,11/9/2000,1/17/2006,RELQ,,"A 6 5/8-inch pipeline with an attached umbilical to transport bulk Gas from Walter's subsea Well No. 1 in Block 68, Lease OCS-G 15464, across Blocks 67, 66, 65, and 64, to Taylor Energy Company's Platform ""A"" in Block 20, Lease OCS-G 04935, all being located in the Mississippi Canyon Area."
G22120,00730,Walter Oil & Gas Corporation,10/20/2000,7/5/2012,RELQ,,"a 4 1/2-inch pipeline to transport bulk gas from Walter Oil & Gas Corporation's Subsea Well No. 1in Block 150, Lease OCS-G 21705, through Block 312, to Walter Oil & Gas Corporation's Platform A in Block 301, Lease OCS-G 4486, all in the Main Pass Area."
G22121,03026,"EnVen Energy Ventures, LLC",2/1/2001,,ACT,,"an 6-inch oil pipeline from Platform A, Vermilion Block 356, Lease OCS-G 17921, through Vermilion Block 355, South Marsh Island Block 151, 152, 149, & 148, to an 8"" SSTI, (SN 4037), in  South Marsh Island Block 137, Lease OCS-G 2589"
G22122,02266,"EPL Oil & Gas, LLC",9/15/2000,2/7/2013,RELQ,,"A 4 1/2-inch pipeline to transport bulk gas from ""A"" Platform, located in Block 161 (Lease OCS-G 15141), to ""A"" Platform, located in Block 160 (Lease OCS-G 0541), all of which are located in the East Cameron Area."
G22123,02266,"EPL Oil & Gas, LLC",9/15/2000,2/7/2013,RELQ,,"A 4 1/2-inch pipeline to transport bulk gas from ""A"" Platform, located in Block 161 (Lease OCS-G 15141), to ""A"" Platform, located in Block 160 (Lease OCS-G 0541), all of which are located in the East Cameron Area."
G22124,01138,El Paso Production GOM Inc.,11/1/2000,,CNCL,,"a 2-3/8 inch gas lift pipeline between South Marsh Island Block 176  Well No. 1, Lease OCS-G 5221 and OXY USA Inc.'s South Marsh Island Block 174 Platform A, Lease OCS-G 2888."
G22125,01138,El Paso Production GOM Inc.,11/1/2000,11/1/2000,CNCL,,"a 4 1/2-inch bulk gas pipeline between South Marsh Island Block 176  Well No. 1, Lease OCS-G 5221 and OXY USA Inc.'s South Marsh Island Block 174 Platform A, Lease OCS-G 2888."
G22126,01138,El Paso Production GOM Inc.,,11/1/2000,CNCL,,"a 4 1/2-inch bulk gas pipeline between South Marsh Island Block 176  Well No. 1, Lease OCS-G 5221 and OXY USA Inc.'s South Marsh Island Block 174 Platform A, Lease OCS-G 2888."
G22127,02492,"Pure Partners, L.P.",10/30/2000,4/1/2004,RELQ,,"A 4 1/2-inch pipeline to transport bulk gas from IP Petroleum's Caisson No. 3 in West Cameron Block 297, Lease OCS-G 15077, through High Island Block 128, to Millennium Offshore Group's existing Appurtenant Platform ""A"" in High Island Block 120, Lease OCS-G 17167."
G22128,02522,"Denbury Offshore, Inc.",9/12/2000,1/14/2003,RELQ,,"An existing 4 1/2-inch pipeline to transport bulk gas from Platform C in Eugene Island Block 179,  Lease OCS-G 19792 to Platform B in South Marsh Island Block 49, Lease OCS-G 00787."
G22129,02522,"Denbury Offshore, Inc.",9/12/2000,11/8/2002,RELQ,,"an existing  8 5/8-inch pipeline to transport bulk gas from Platform C in Eugene Island Block 179, Lease OCS-G 19792, to Platform B in South Marsh Island Block 49, Lease  OCS-G 00787."
